method,method_key,n_input_features,optimal_k,silhouette,stability_ari,stability_ari_std,min_cluster_size,max_cluster_size,cluster_balance
VIF-Pruned,vif,10,6,0.3730588478927533,0.5904287565828786,0.17959900411334573,1,17,0.4838709677419355
PCA,pca,6,7,0.43605479204888825,0.7228973681086882,0.21295775593994568,1,14,0.5806451612903225
Sparse PCA,spca,5,6,0.5188058421581992,0.7065614729274725,0.1477174971656335,1,16,0.5161290322580645
Factor Analysis,fa,5,7,0.4777447436720999,0.726818076598367,0.11826641671672491,1,12,0.6451612903225806
