method,method_key,n_input_features,optimal_k,silhouette,stability_ari,stability_ari_std,min_cluster_size,max_cluster_size,cluster_balance
VIF-Pruned,vif,2,6,0.5588017760075987,0.91614103794574,0.11491497606255531,4,25,0.6557377049180328
PCA,pca,4,6,0.45937270083746307,0.754846343918293,0.11994162300605565,2,24,0.639344262295082
Sparse PCA,spca,4,3,0.45758702636174314,0.7164062525888422,0.17412840870977145,6,37,0.4918032786885246
Factor Analysis,fa,4,6,0.4771933116555203,0.7084823835156397,0.13776268299107267,4,26,0.639344262295082
