material,within_var,between_var,total_var,within_pct,between_pct,cumulative_between_var,mean_demand
Steel,9012476713327.852,17565058586157.193,26577535299485.047,33.91012978356376,66.08987021643622,1422769745478732.2,16323026.354280023
Cement,1387823387422.542,3082863536738.5615,4470686924161.104,31.04273260384831,68.95726739615168,249711946475823.4,5684064.503747579
Glass,121804853009.60524,1186406671947.433,1308211524957.0383,9.310791923623002,90.689208076377,96098940427742.05,4896561.543772643
Aluminum,261208675100.04507,111004752813.71764,372213427913.7627,70.17712299207108,29.822877007928923,8991384977911.13,1485574.7612800526
Fiberglass,3971293336.2657986,39651211423.74079,43622504760.00659,9.103771913406282,90.89622808659371,3211748125323.003,657645.4694101075
Lead,1519712944.578381,24807668021.608524,26327380966.186905,5.772366596321134,94.22763340367887,2009421109750.2913,515026.53467775794
Copper,85633332663.05215,12752894459.145178,98386227122.19733,87.03792712438718,12.962072875612835,1032984451190.7595,433192.3983484079
Zinc,968162605.5308244,16121386148.759775,17089548754.2906,5.665232121987726,94.33476787801227,1305832278049.5417,395101.6266980679
Silicon,29001038530.364883,4816992893.809575,33818031424.174458,85.75614046426665,14.243859535733353,390176424398.5756,318193.8504511465
Manganese,1003631.1406606737,371094181.35665345,372097812.49731416,0.26972239743223914,99.73027760256775,30058628689.88894,60570.27546107871
Vanadium,12921915.842050059,48617551.30305324,61539467.1451033,20.997770116503613,79.00222988349638,3938021655.547312,48530.13680788107
Chromium,347922128.71824056,180757768.72838113,528679897.44662166,65.80960055387176,34.19039944612825,14641379266.99887,43495.11124081341
Tin,5556110.328552291,70393545.4415637,75949655.77011599,7.31551745984142,92.68448254015857,5701877180.766661,38462.02680889072
Nickel,88299852.61698766,45537191.8715432,133837044.48853086,65.97564445212663,34.02435554787337,3688512541.5949993,21365.830829596776
Neodymium,75384557.41604084,13788744.113041915,89173301.52908275,84.53713849705915,15.462861502940868,1116888273.156395,12124.159446106125
Molybdenum,1956899.144483602,6504956.335689153,8461855.480172755,23.126123449743087,76.87387655025691,526901463.19082135,8789.254555365726
Magnesium,47187.98015774171,601167.3976978022,648355.3778555439,7.278104226391622,92.72189577360838,48694559.21352197,3555.4807464875025
Silver,2655487.3887297306,414236.15004691086,3069723.5387766417,86.50575060541138,13.494249394588605,33553128.153799776,2946.492477665395
Niobium,46104.56574991951,782650.3410628608,828754.9068127803,5.563112250789334,94.43688774921067,63394677.62609173,2923.8009656004697
Tellurium,1064976.0315205995,87629.96571249019,1152605.9972330898,92.39723149776661,7.6027685022333715,7098027.222711704,1221.0167737925415
Cadmium,579971.2489588278,65062.63620077785,645033.8851596056,89.91329948740926,10.086700512590731,5270073.532263007,1052.1099728341574
Praseodymium,1276389.245440825,57838.761859936676,1334228.0073007615,95.66500166812203,4.334998331877969,4684939.710654871,892.8174506235974
Selenium,588666.5883792702,36032.80127578432,624699.3896550544,94.23197751230703,5.768022487692978,2918656.90333853,782.9685584529906
Dysprosium,1127262.2716667138,44695.065611541555,1171957.3372782553,96.18628902351165,3.8137109764883617,3620300.3145348663,739.0566021925432
Indium,80279.90686472281,17875.106631622086,98155.0134963449,81.78890105059409,18.2110989494059,1447883.6371613895,551.4671278077808
Terbium,490898.2971860553,20531.626455426234,511429.9236414815,95.9854467823789,4.014553217621101,1663061.7428895251,473.6915806163389
Boron,4840.219656971499,1426.0205336742983,6266.240190645797,77.24280445229257,22.75719554770742,115507.66322761813,149.15081280151065
Gallium,40301.27370036164,968.6675895650746,41269.94128992672,97.6528496060606,2.347150393939401,78462.07475477103,128.37566129175028
Yttrium,1917.2252968315843,793.7391539200017,2710.964450751586,70.72115225635122,29.278847743648797,64292.87146752015,87.53785636446821
Gadium,1442.2719869299851,422.93580652302984,1865.207793453015,77.32500325124317,22.67499674875681,34257.80032836542,84.82669309501466
