material,technology,intensity_t_per_mw,total_capacity_mw,expected_demand_tonnes,pct_contribution
Manganese,Coal,0.145,20447704.8,2964917.1960000005,0.8750314482329626
Manganese,Coal CCS,0.145,3699702.5999999996,536456.877,0.15832369235442292
Manganese,Gas,0.145,186343867.3,27019860.7585,7.974329914663576
Manganese,Gas CCS,0.145,11504504.7,1668153.1815,0.4923194807098313
Manganese,NGCC,0.145,186343867.3,27019860.7585,7.974329914663576
Manganese,NGGT,0.145,66655908.3,9665106.7035,2.852448064148136
Manganese,Nuclear New,0.34299999999999997,52384755.2,17967971.033600003,5.3028596335001765
Manganese,onshore wind,0.79,314011243.9,248068882.681,73.21218749944755
Molybdenum,CIGS,0.055,320092525.2,17605088.886,22.937963815888743
Molybdenum,CdTe,0.07,320092525.2,22406476.764,29.19377212931294
Molybdenum,a-Si,0.01062,320092525.2,3399382.6176239997,4.429112285904335
Molybdenum,offshore wind,0.075315,23345283.4,1758250.0192709998,2.290853263080985
Molybdenum,onshore wind,0.100575,314011243.9,31581680.8552425,41.148298505812996
Neodymium,offshore wind,0.1488509756097561,23345283.4,3474968.2099762433,8.257644360163045
Neodymium,onshore wind,0.12294740000000001,314011243.9,38606866.00827085,91.74235563983696
Nickel,Bio CCS,0.009666666666666665,1558995.7999999998,15070.29273333333,0.0071293756888438035
Nickel,Biomass,0.009666666666666665,3882166.9000000004,37527.613366666665,0.01775336810842859
Nickel,CSP,1.42,814369.8,1156405.116,0.5470661165213774
Nickel,CdTe,0.016,320092525.2,5121480.4032,2.4228433066003157
Nickel,Coal,0.009666666666666665,20447704.8,197661.1464,0.09350850688229871
Nickel,Coal CCS,0.009666666666666665,3699702.5999999996,35763.7918,0.016918948577277895
Nickel,Gas,0.009666666666666665,186343867.3,1801324.0505666668,0.8521610111417595
Nickel,Gas CCS,0.009666666666666665,11504504.7,111210.21209999999,0.052610748611618637
Nickel,NGCC,0.009666666666666665,186343867.3,1801324.0505666668,0.8521610111417595
Nickel,NGGT,0.009666666666666665,66655908.3,644340.4469,0.30482122668439643
Nickel,Nuclear New,0.20139999999999997,52384755.2,10550289.69728,4.9910761661369785
Nickel,Solar Distributed,0.00114,42754248.3,48739.843062,0.02305759140535464
Nickel,a-Si,0.334,320092525.2,106910903.4168,50.5768540252816
Nickel,offshore wind,0.1773925,23345283.4,4141278.1855344996,1.9591343405947497
Nickel,onshore wind,0.24981538461538463,314011243.9,78444839.66843385,37.110276671027975
Nickel,utility-scale solar pv,0.00114,320092525.2,364905.47872799996,0.1726275855952725
Niobium,offshore wind,0.037656999999999996,23345283.4,879113.3369937999,6.912715460435268
Niobium,onshore wind,0.037700000000000004,314011243.9,11838223.895030001,93.08728453956472
Praseodymium,offshore wind,0.03245,23345283.4,757554.44633,11.60649415998283
Praseodymium,onshore wind,0.018373333333333335,314011243.9,5769433.254589333,88.39350584001718
Selenium,CIGS,0.06259055555555555,320092525.2,20034768.981448665,100.0
Silicon,Solar Distributed,4.899933333333333,42754248.3,209492966.38677996,11.473164232357222
Silicon,a-Si,0.15,320092525.2,48013878.779999994,2.629544686757531
Silicon,utility-scale solar pv,4.899933333333333,320092525.2,1568432033.9783201,85.89729108088524
Silver,CSP,0.014499999999999999,814369.8,11808.3621,0.09625964578264865
Silver,Nuclear New,0.001,52384755.2,52384.75520000001,0.4270311104334074
Silver,Solar Distributed,0.03363129166666667,42754248.3,1437880.5945663874,11.721344208330525
Silver,utility-scale solar pv,0.03363129166666667,320092525.2,10765125.07532105,87.75536503545341
Steel,ASIGE,55.95,320092525.2,17909176784.940002,12.1198278342819
Steel,Bio CCS,79.56,1558995.7999999998,124033705.84799999,0.08393837296808838
Steel,Biomass,52.0,3882166.9000000004,201872678.8,0.1366149958136943
Steel,CDTE,55.95,320092525.2,17909176784.940002,12.1198278342819
Steel,CIGS,55.95,320092525.2,17909176784.940002,12.1198278342819
Steel,CSP,320.0,814369.8,260598336.0,0.17635690373419516
Steel,Coal,52.655,20447704.8,1076673896.2440002,0.7286265813801052
Steel,Coal CCS,75.76474999999999,3699702.5999999996,280307042.56334996,0.18969454249071513
Steel,Gas,41.08,186343867.3,7655006068.684001,5.180436640775727
Steel,Gas CCS,62.8525,11504504.7,723086881.65675,0.48934066708621976
Steel,Geothermal,544.7090000000001,3521926.2,1918424898.4758,1.2982718168307101
Steel,Hydro,83.575,47304464.4,3953470612.23,2.675465418846787
Steel,NGCC,41.08,186343867.3,7655006068.684001,5.180436640775727
Steel,NGGT,41.08,66655908.3,2738224712.964,1.853061840374861
Steel,Nuclear New,31.983666666666664,52384755.2,1675456548.7317333,1.133845801975916
Steel,Solar Distributed,55.95,42754248.3,2392100192.3849998,1.6188260824159335
Steel,offshore wind,302.45475,23345283.4,7060891854.42615,4.778376731648031
Steel,onshore wind,122.33868749999999,314011243.9,38415723438.968376,25.997395625755686
Steel,utility-scale solar pv,55.95,320092525.2,17909176784.940002,12.1198278342819
Tellurium,CdTe,0.09888490909090909,320092525.2,31652320.255081527,92.68875038984808
Tellurium,a-Si,0.0078,320092525.2,2496721.6965599996,7.311249610151898
Terbium,offshore wind,0.006386666666666666,23345283.4,149098.54331466666,6.176654240913247
Terbium,onshore wind,0.0072125,314011243.9,2264806.0966287497,93.82334575908676
Tin,CdTe,0.0066,320092525.2,2112610.66632,0.9008628175615578
Tin,Solar Distributed,0.577,42754248.3,24669201.269099995,10.519480241471216
Tin,a-Si,0.071962,320092525.2,23034498.298442397,9.82240758747952
Tin,utility-scale solar pv,0.577,320092525.2,184693387.04039997,78.75724935348771
Vanadium,offshore wind,7.0,23345283.4,163416983.79999998,85.22807117981615
Vanadium,onshore wind,0.0902,314011243.9,28323814.19978,14.77192882018385
Yttrium,onshore wind,0.001225,314011243.9,384663.7737775,100.0
Zinc,CIGS,0.121,320092525.2,38731195.5492,2.193416484132254
Zinc,onshore wind,5.5,314011243.9,1727061841.4499998,97.80658351586774
