material,technology,intensity_t_per_mw,total_capacity_mw,expected_demand_tonnes,pct_contribution
Aluminum,ASIGE,20.69333333333333,320092525.2,6623781321.472,23.111332722967862
Aluminum,Bio CCS,1.3,1558995.7999999998,2026694.5399999998,0.0070714308894716275
Aluminum,Biomass,1.3,3882166.9000000004,5046816.970000001,0.017609075620822274
Aluminum,CDTE,20.69333333333333,320092525.2,6623781321.472,23.111332722967862
Aluminum,CIGS,20.69333333333333,320092525.2,6623781321.472,23.111332722967862
Aluminum,CSP,5.5,814369.8,4479033.9,0.015627998225845412
Aluminum,Coal,0.39475,20447704.8,8071731.469800001,0.028163440578008347
Aluminum,Coal CCS,0.39475,3699702.5999999996,1460457.6013499997,0.005095748170787507
Aluminum,Gas,0.217,186343867.3,40436619.2041,0.1410892230980572
Aluminum,Gas CCS,0.217,11504504.7,2496477.5198999997,0.008710571771260795
Aluminum,Geothermal,16.165857142857142,3521926.2,56934955.81688572,0.19865430991600147
Aluminum,Hydro,0.052,47304464.4,2459832.1487999996,0.00858271076209624
Aluminum,NGCC,0.217,186343867.3,40436619.2041,0.1410892230980572
Aluminum,NGGT,0.217,66655908.3,14464332.1011,0.050468150378149536
Aluminum,Nuclear New,0.0375,52384755.2,1964428.3200000003,0.006854175026395867
Aluminum,Solar Distributed,21.86325,42754248.3,934746819.144975,3.2614670836075406
Aluminum,offshore wind,1.97335,23345283.4,46068414.997389995,0.16073937458850687
Aluminum,onshore wind,2.005078947368421,314011243.9,629617334.3808604,2.1968261023131803
Aluminum,utility-scale solar pv,21.86325,320092525.2,6998262901.578899,24.41795321305221
Boron,offshore wind,0.007,23345283.4,163416.9838,16.328956880794152
Boron,onshore wind,0.0026666666666666666,314011243.9,837363.3170666667,83.67104311920583
Cadmium,CIGS,0.0013,320092525.2,416120.28276,1.4524490525563103
Cadmium,CdTe,0.081594,320092525.2,26117629.5011688,91.16240614944583
Cadmium,a-Si,0.00661,320092525.2,2115811.591572,7.385144797997855
Cement,ASIGE,7.4135,320092525.2,2373005935.5702,2.839363903380227
Cement,Bio CCS,32.005,1558995.7999999998,49895660.578999996,0.05970146785548709
Cement,Biomass,20.9185,3882166.9000000004,81209108.29765001,0.09716883016166476
