material,sector,S1,S1_conf,ST,ST_conf
Aluminum,Fossil,0.8953309139990429,0.0659875944704602,0.8882236694340988,0.059572449096668846
Aluminum,Wind,0.11694034196273594,0.03032840324943133,0.11344425558029472,0.009759700252734017
Aluminum,Nuclear,0.004708005360219909,0.0055455524087925255,0.0049100353049300735,0.00039746645352781233
Aluminum,Biomass,2.3341869572509725e-06,0.00014310609375607449,2.3926933714835357e-06,1.9717941548520463e-07
Aluminum,Geothermal,3.1143865135522213e-07,2.3418561315684995e-05,7.708081754884607e-08,7.220530018077033e-09
Aluminum,Solar,1.2518511704053843e-09,5.366692465251915e-06,3.9401734432013594e-09,3.2863598365825304e-10
Aluminum,Hydro,7.025769792888237e-18,2.3154946321480724e-17,6.289772844106826e-32,7.570461824496864e-33
Aluminum,Other,0.0,7.062403274532107e-06,7.367085342660723e-09,6.810993718230409e-10
Cement,Wind,0.7125514062194732,0.060713956355767505,0.7125513982354581,0.053808707352108714
Cement,Nuclear,0.21991350965377782,0.040634637326579515,0.22126281032655432,0.016164148452329673
Cement,Other,0.04353853853602494,0.018738394632755083,0.043634619772309466,0.00386158500903242
Cement,Fossil,0.02067791469965132,0.01073730626584628,0.018372925958263807,0.001595352463300681
Cement,Geothermal,0.003221989337804329,0.00431691658487397,0.002557124343651135,0.0002814914864640187
Cement,Solar,0.0020251959771040305,0.003792989722699466,0.0020272638720754453,0.00017762334465998983
Cement,Biomass,1.0475573833261645e-05,0.0003253905285686821,1.0223769039747887e-05,8.968212318610568e-07
Cement,Hydro,0.0,3.0802838692505275e-17,1.25655341552414e-31,1.7349762667000623e-32
Chromium,Wind,0.9833816631560642,0.0736595882848152,0.9833649865564753,0.05953368763094606
Chromium,Solar,0.01664378630600967,0.011008086121736958,0.01662853979750589,0.0014479041070954775
Copper,Fossil,0.893568172454083,0.06518888774517462,0.886243158165125,0.06105925440414671
Copper,Wind,0.12141381279485766,0.03073826141912106,0.11783547745461374,0.010007674491719163
Copper,Nuclear,0.002402570368098003,0.004049537814237728,0.0024543028146079733,0.00019784181121538616
Copper,Solar,5.902531954402564e-06,0.00021119982397692336,5.992122236285104e-06,4.821860055129666e-07
Copper,Geothermal,1.209208052158796e-06,6.10837342738567e-05,5.290431455337847e-07,5.299538504202009e-08
Copper,Hydro,1.0082183630890659e-18,1.7918167792416452e-17,5.035289115806444e-32,6.876225007968165e-33
Copper,Biomass,0.0,2.9713624586067585e-06,1.0528107632302816e-09,8.876975288640723e-11
Copper,Other,0.0,8.571182108594341e-05,1.0788597541464938e-06,1.0008302999744147e-07
Lead,Wind,0.860724617599423,0.07463424317656585,0.8605974162229051,0.051194907124035065
Lead,Solar,0.13923027504777127,0.031034297761257355,0.1391780421164161,0.012063929214969014
Manganese,Wind,0.43846794378664433,0.05271780225196448,0.43860751292128114,0.037744585457780595
Manganese,Nuclear,0.3809546279943844,0.054107511422083025,0.38102916011015997,0.03319054155244627
Manganese,Solar,0.14531322659690624,0.028923330376078332,0.14520167722526622,0.012026979125004597
Manganese,Fossil,0.034300736788855736,0.01682683358685388,0.03452870540769384,0.0031504745521444017
Manganese,Biomass,0.00047687649866736304,0.001902731644805092,0.00046704986540283797,3.764286116152234e-05
Manganese,Other,9.637890039302023e-17,1.7953044404042055e-16,3.331870596875215e-30,7.147509433458708e-31
Molybdenum,Solar,0.5772294600395341,0.054714460564224514,0.5772338476906724,0.046423382241580886
Molybdenum,Wind,0.42289260529046957,0.05199350881382093,0.4227181999545392,0.033557183493674224
Nickel,Wind,0.9948359822858354,0.07638251431627181,0.9948358002539467,0.06630177641138348
Nickel,Solar,0.0036640653130012783,0.004994041591435704,0.0036746477298816114,0.0002896594835326774
Nickel,Fossil,0.0014802347826232993,0.0035821921950637834,0.0014806521732375693,0.00013623220413770662
Nickel,Nuclear,1.284576508722659e-06,0.00010321934105047942,1.4316475378182257e-06,1.3885467566349718e-07
Nickel,Biomass,9.262945677949725e-09,3.4833166135569125e-06,1.7511208703799964e-09,1.445363601566198e-10
Nickel,Other,0.0,0.0,0.0,0.0
Silver,Nuclear,1.0000146522505555,0.07476633576060178,1.0000146470963103,0.05913972932878511
Silver,Solar,1.494257560326789e-10,8.450069214629828e-07,8.96713664671807e-11,7.665996152369357e-12
Steel,Wind,0.9013486276063384,0.06831694684102986,0.9022185831449714,0.048790099371298856
Steel,Nuclear,0.08962841002219483,0.025363751627886778,0.09031548519866835,0.0072175042110289075
Steel,Geothermal,0.004696774340998998,0.005831408249283489,0.004114612668223322,0.0004511306818839485
Steel,Solar,0.0024388608048983547,0.0040863931696372,0.002441466889446899,0.00021968157156533442
Steel,Biomass,0.001007123077216654,0.0030181373639650644,0.001006870072086058,8.448610537519962e-05
Steel,Other,0.0006070123542469262,0.002397478458099743,0.0006074220088924036,5.2260299138754665e-05
Steel,Fossil,2.9644287530769023e-05,0.0002238397877745135,6.263013956713375e-06,5.211038055175399e-07
Steel,Hydro,0.0,3.2405103217520725e-17,1.6478089865594094e-31,2.0971596859550712e-32
Zinc,Wind,0.9998197553823047,0.06917378550952812,0.9998197553823048,0.05993896868289727
Zinc,Solar,0.0,0.0,0.0,0.0
