sector,S1,S1_conf,ST,ST_conf
Biomass,0.9000333679868616,0.08147384154950008,0.9010053694677339,0.055351894592920885
Fossil,0.09738712199226242,0.026735148711258705,0.09700696732346925,0.009053604837069766
Other,0.0020051383078556126,0.0042701473070149406,0.0019750826445226774,0.00018926039238531496
Wind,5.375275830492888e-06,0.0002562505462774851,6.861745771139288e-06,5.591252635506795e-07
Geothermal,7.796288604037138e-08,3.4087592681310736e-06,1.5910673335268556e-09,1.61529720448184e-10
Hydro,0.0,8.25781999459574e-05,1.0326599891727853e-06,1.0123146880615898e-07
Nuclear,0.0,2.725894946696321e-17,1.0036374497055696e-31,1.3293398595676088e-32
Solar,0.0,7.964860540517327e-05,8.681649331421163e-07,7.09758240068937e-08
