year,material,mean,std,p2,p5,p25,p50,p75,p95,p97
2026,Aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Boron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Cadmium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Chromium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Dysprosium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Fiberglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Gadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Gallium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Indium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Lead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Magnesium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Manganese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Molybdenum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Neodymium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Nickel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Niobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Praseodymium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Selenium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Silicon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Silver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Tellurium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Terbium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Tin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Vanadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Yttrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Zinc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,Aluminum,184499827.3539237,116560217.81775542,59586200.15644222,68989463.82828552,109070508.37686038,153849364.97583306,223309923.98338526,406217073.5435874,500099449.679214
2029,Boron,10287.395969063653,6438.503340836157,2887.507848085755,3511.977585369944,5988.315390457418,8674.830302753937,12735.197708789043,23113.62168424656,26978.33993312792
2029,Cadmium,116917.80401576274,95389.75832534462,21790.30483758665,27525.378654985027,55038.90976480472,90189.90863064936,147975.56740322628,291848.5140176884,366586.6534019406
2029,Cement,384832046.0662689,66289373.96036512,274318826.68168956,288836729.95653576,337136091.7742343,378891621.5142768,424480464.1126344,502374466.51788086,533047679.6136927
2029,Chromium,2776455.382755826,1020074.3896947638,1342709.7434053181,1479092.9567518602,2045675.5510689483,2596443.589766157,3299283.5140658026,4634073.723395317,5286853.09346275
2029,Copper,42741954.62313709,29881429.74624359,15150225.859349791,17264457.526757352,26129918.2701515,35824442.30496893,50496641.16977544,87466585.66016099,108286037.02803898
2029,Dysprosium,76922.9924990613,93782.54588913471,11106.931428458402,13671.578896820269,27513.300535161536,48502.26983497487,88814.90565100643,242410.80625581634,314045.75691220694
2029,Fiberglass,60509009.45351572,50532830.93347881,12821990.958247213,15619383.77867247,28929321.125432864,46169519.771402955,75324260.31506212,151430761.96395087,193953849.98347113
2029,Gadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,Gallium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,Glass,643001889.840796,416655236.8780012,193633401.04729536,222256550.83443987,373689953.04017663,536034474.87078536,781017057.6326082,1425389937.709988,1693516231.94872
2029,Indium,28356.38428049588,24949.657453744745,4660.32781179624,5940.476897084651,12799.825440497929,20941.341570401317,35728.8498188838,74201.29535273921,94660.65745199731
2029,Lead,45425248.35298078,37104338.81615038,10235703.599071745,12162362.383982869,22949001.39542281,36259823.86099973,56580532.03224526,107787900.61114447,135202683.25179178
2029,Magnesium,419820.68697880674,322697.91518053383,98548.29606072737,116831.84454032574,213612.7141769121,328715.3918911694,519570.71548891545,1009877.364529864,1243879.681608529
2029,Manganese,5134597.303936469,4285927.580156292,1006782.6480180677,1254334.669721212,2432958.9789760727,3910934.5482886024,6371848.886047773,13046773.852574524,17412289.158565525
2029,Molybdenum,875894.7413499721,560643.9734414832,252052.96476005003,298142.2450797263,503550.97520069545,736522.7003362309,1082401.8480451007,1914658.1949132103,2339643.266348431
2029,Neodymium,725842.4046802958,891335.7350790167,103800.02663479156,130455.0580673978,266672.7720689933,470701.792326501,835181.9108719514,2140821.8380317753,2957173.6458873353
