scenario,year,material,mean,std,p2,p5,p25,p50,p75,p95,p97
Adv_CCS,2029,Lead,517099.2636626584,28342.10445825952,468097.93897440884,472375.5075734832,493380.90225361916,516875.7810229227,541791.4513550991,560572.0667417732,564870.9830950954
Adv_CCS,2029,Magnesium,4520.556256056939,232.80422376225445,4133.300031394778,4165.107907815787,4315.688539403258,4520.270827478508,4720.516676678542,4882.090120952257,4904.587586827001
Adv_CCS,2029,Manganese,58428.563228453364,420.2040709818239,57731.40984798163,57780.19521780026,58071.057281807196,58421.6277269178,58779.7972024597,59094.75542211782,59144.96400358379
Adv_CCS,2029,Molybdenum,7896.128713753045,930.3829462949461,6331.468084918136,6448.430743955815,7113.727720961291,7886.173369533586,8680.8445979132,9356.500174584844,9502.59815033408
Adv_CCS,2029,Neodymium,11991.950775438607,6295.0081334433335,1706.4195357436645,2207.691215775291,6559.353244780692,11973.630931901833,17411.845181634424,21950.554608407478,22420.726627429096
Adv_CCS,2029,Nickel,20980.921113174685,6764.295102074345,9663.180456060381,10302.189384247627,15201.580673626382,20987.71501767615,26880.9998328629,31461.661855838487,31965.449695288986
Adv_CCS,2029,Niobium,2944.179034401484,155.6926024645813,2686.739994072459,2700.190901873962,2810.0254101836713,2942.4701894452155,3077.338407267044,3190.904912339221,3206.2738610951606
Adv_CCS,2029,Praseodymium,909.6751524651162,832.9201854221199,278.48856995950337,283.6896153737561,366.1055197879646,604.616190395834,1136.7006862726919,2525.0464559676598,3231.710448966497
Adv_CCS,2029,Selenium,160.50681125453286,134.29014516780717,28.115934471572185,31.98741220644215,64.65534698442184,121.48097137520017,208.2097460872983,427.3857149038679,535.1526403395521
Adv_CCS,2029,Silicon,406940.91577015223,182360.8004445056,105563.30155223481,124975.99912175386,246680.73043007136,412551.41895544797,563540.136480207,685730.7020980256,708288.8823289516
Adv_CCS,2029,Silver,3722.121032216333,1735.5874025032635,820.8251661615092,1037.6066747826983,2253.1857780896285,3693.4537662674857,5193.43973011695,6437.852234957951,6660.456416007287
Adv_CCS,2029,Steel,16498465.87334301,2144851.904898474,12712689.132048804,13329972.644078119,15060337.09323089,16338004.526440427,17758340.344181463,20280718.76253848,21326056.159105208
Adv_CCS,2029,Tellurium,528.9637210306051,329.7325792012495,119.03535252463239,146.38304269664127,287.94316576698685,452.01285377607894,691.9703180763615,1132.6370909327686,1388.9177761033911
Adv_CCS,2029,Terbium,479.89926515067333,513.218231190222,62.545825291712994,65.92016549077736,128.23699283693026,295.5849609486262,646.1626522993325,1525.2776461885358,1915.2452768664998
Adv_CCS,2029,Tin,48836.34891346027,2506.3480188086437,44624.1022976506,44923.869153449785,46731.40065437078,48740.16789724736,50991.641007012455,52712.826594912105,53004.20483989944
Adv_CCS,2029,Vanadium,51690.71871252452,2618.5900547355673,47399.56835241729,47640.098164148454,49416.48491125433,51660.32790718913,53941.05335800045,55772.68568656997,56024.478592302265
Adv_CCS,2029,Yttrium,87.71358603948835,32.04422212945234,35.37169744660836,38.28896980792108,59.798128342515,87.62855285774297,115.24420189917699,138.05272245394553,140.74893420312057
Adv_CCS,2029,Zinc,394390.63789378275,22848.55870205411,356836.42809958634,358560.30471890495,374702.5433638027,394290.0994926931,414222.7218313794,429730.0544165075,431829.56490789563
Adv_CCS,2032,Aluminum,2706368.631996718,814096.5665237657,1816041.7082787843,1886309.1832952462,2146241.0343349716,2482359.458180658,3012744.1961129066,4324101.528332942,4935379.1398753645
Adv_CCS,2032,Boron,336.5402147724108,85.45943113636993,265.2842603730547,268.11534389541066,284.5479868702908,304.065265148768,356.8379182924296,512.0547829872041,564.8284789321001
Adv_CCS,2032,Cadmium,731.315357287169,453.518501436455,104.13072314605203,158.91515585379253,409.701832265567,645.0340244161482,970.4614658480298,1559.367475352912,1833.4161857674808
Adv_CCS,2032,Cement,11250577.606601572,1385823.884646541,8919574.178579869,9098682.461796474,10135907.693454225,11225224.854930326,12268743.431091797,13417187.739810586,13922726.254929988
Adv_CCS,2032,Chromium,77340.35813255735,23633.644326968544,38612.450335274065,40571.154097362414,56960.46738995055,77860.06687942511,97930.03247054151,113663.02846869708,115854.87738957524
Adv_CCS,2032,Copper,805340.2118705063,374409.8616437013,353018.04952719976,387063.7891071116,546988.5180227587,720706.9721008766,958811.7423482,1505761.7705023873,1791082.6179854474
Adv_CCS,2032,Dysprosium,1463.8371270586886,1346.0338946024035,281.51609854153827,338.37845687514056,654.4932339311797,982.5251752218824,1777.6421527245743,4199.3857352325995,5242.4201581156785
Adv_CCS,2032,Fiberglass,1225392.1104553188,83898.37382362416,1075857.3521700345,1090235.1955914705,1157989.3000417736,1225603.2099864194,1294326.4000739546,1358382.4562509481,1372871.8733018062
Adv_CCS,2032,Gadium,25.170158761537195,9.502912396023316,9.677339746448487,10.407460805153649,16.979975873442296,24.995761843650953,33.460721643170785,40.03211397983831,40.85516262223539
Adv_CCS,2032,Gallium,38.33550775251147,46.31539362798878,2.3447894642911056,3.7829656128542744,11.83634870257336,23.463049504895558,46.81586364599031,120.46588748987777,158.02017008960135
Adv_CCS,2032,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2032,Glass,8622653.972418899,550199.4670943645,7699369.2818170525,7772394.818748821,8155522.839691495,8612425.240587518,9092692.677231634,9473510.77922975,9538518.534102479
Adv_CCS,2032,Indium,244.57166873514166,70.77392036835131,162.38583432736087,166.2451821766063,192.8108728388428,227.17648372699787,276.3909976742679,386.6077417820381,426.27194299465964
Adv_CCS,2032,Lead,941371.0201134474,51173.18757998133,847205.2341911152,858987.6726124012,900842.385814042,940863.8204526957,983551.3743775,1021599.401143344,1032392.7525602231
Adv_CCS,2032,Magnesium,6795.831677919387,354.5615070614191,6210.0422847828995,6253.024873952257,6485.297188849966,6796.182553644445,7099.603529807431,7345.967991625236,7377.791830153853
Adv_CCS,2032,Manganese,105462.74695667361,776.0303366233735,104230.6546342204,104296.4935339246,104823.73870948023,105428.33697973122,106052.1359151637,106595.88677842647,106912.22081218772
Adv_CCS,2032,Molybdenum,14243.591259905976,1587.892500810456,11576.510072900088,11789.64531842167,12892.58585620838,14225.985714396431,15599.756283755334,16729.7450725603,16969.361852162798
Adv_CCS,2032,Neodymium,21875.135174691004,10828.897008691518,4093.5506413239596,5150.29669922831,12489.636559640643,21860.378654336935,31129.67915619323,38847.610308149764,40052.63186311899
Adv_CCS,2032,Nickel,37419.02010400133,11581.603313634772,18012.9464219162,19165.412276101622,27462.038211697596,37469.97536071821,47531.45328666426,55388.37765413915,56275.77095539279
Adv_CCS,2032,Niobium,5445.4190764068135,270.1529051034547,4985.506160377527,5022.012924460673,5215.739428284278,5443.32743699237,5672.263399880187,5874.056624688903,5908.040628567386
Adv_CCS,2032,Praseodymium,1897.6154313555826,1426.3556851893134,812.2608196161204,822.6624152885105,964.4477773263643,1379.680006971035,2289.6065057850606,4671.529386436038,5877.1118786312945
Adv_CCS,2032,Selenium,245.0336666383033,205.01065597568856,42.92248073887915,48.83277437233361,98.704451328493,185.45585455338374,317.8581464228049,652.4575996071305,816.977252545514
Adv_CCS,2032,Silicon,611743.7726335451,277823.1680376656,155294.6497927723,182207.28128139323,366393.11963987694,619026.0522416078,851625.2673059505,1038036.8580578894,1067504.7332129856
Adv_CCS,2032,Silver,5595.084870751933,2643.884723005386,1206.2340469594283,1503.2928365189257,3347.574727778774,5552.299690667937,7848.575723230143,9729.909700308597,10049.724938134479
Adv_CCS,2032,Steel,33252518.778735995,5007669.103224983,25517089.041398216,26635372.40674101,29902433.52296656,32515820.15771113,35763635.36951049,42299311.466699176,45951420.98027421
Adv_CCS,2032,Tellurium,807.5290953056634,503.3779081416096,181.72231234747656,223.47197234358083,439.5811563375819,690.0539987225493,1056.378996740772,1729.111787796232,2120.3562183914523
Adv_CCS,2032,Terbium,887.3662237013932,878.7933223404161,172.56149223064256,178.90946524428404,284.7889575158931,571.5470388030676,1173.7394881626362,2676.294378225535,3343.722576142539
Adv_CCS,2032,Tin,73419.6118944109,3818.372041286697,67022.4192408186,67479.911336616,70182.90493540942,73272.44291699413,76712.98481007526,79308.17341383817,79749.4149090971
Adv_CCS,2032,Vanadium,163553.87171074588,8828.880406671891,149077.03563950025,149903.32077343808,155882.40974212624,163446.65036523878,171143.77096090704,177311.6806136283,178159.7130608893
Adv_CCS,2032,Yttrium,150.1860574153852,54.86716028687589,60.564571846422524,65.55962055136526,102.38830199620826,150.04046083345918,197.3248741127515,236.37836550753164,240.9949070360394
Adv_CCS,2032,Zinc,675232.7050762621,39121.96736179185,610933.3120857723,613882.0826229644,641520.120140707,675060.3112655517,709187.5014144332,735740.3529360374,739335.4842864294
Adv_CCS,2035,Aluminum,1728050.3260384267,568801.4946937043,1125148.6747644665,1156729.1334759183,1334090.1868492072,1564120.8244377468,1944636.6222355792,2872071.051956815,3275311.4839632055
Adv_CCS,2035,Boron,205.70537581727055,66.01411276595037,154.4667425983318,155.93446773623805,164.2160803079152,180.00009261080604,220.63813277908451,343.93874183766627,384.7854934792043
Adv_CCS,2035,Cadmium,512.3688782197742,317.7408535421527,72.95531438649392,111.33798753928728,287.0423355817276,451.91907459685825,679.9176957756972,1092.512766370414,1284.5147924916175
Adv_CCS,2035,Cement,6112422.981426558,945073.1448646853,4552355.543446021,4650606.6666737655,5294063.28311063,6128288.162659097,6909944.387443676,7586954.0740157,7704126.23200404
Adv_CCS,2035,Chromium,57477.29762566759,18305.614740005407,27518.711964956634,28947.863939806575,41673.7849177264,57912.68264171618,73478.18229723819,85615.03614200723,87325.35153863262
Adv_CCS,2035,Copper,522639.89300414204,275926.69702480757,207569.48682175556,230073.4604950609,335186.39924660465,456723.06491986895,629708.9386365965,1043451.4854415904,1261605.5185437873
Adv_CCS,2035,Dysprosium,993.3413174321284,1033.8950798718859,167.43853804204016,197.21432586681223,353.4071860613265,609.1939789600306,1227.4937938711564,3089.740212706377,3918.0025202770016
Adv_CCS,2035,Fiberglass,883652.0613756533,61627.73870646813,779556.0031162061,788055.0439947518,831258.921480226,883772.4673641454,936313.6243461123,978510.3980732951,986980.0641479071
Adv_CCS,2035,Gadium,17.63453465151059,6.657861776939714,6.780067806086587,7.2915999434686025,11.896387931394395,17.51234994378912,23.443008876953513,28.04701026476825,28.623648653970992
Adv_CCS,2035,Gallium,26.858346276224673,32.44915622380605,1.6427894416671198,2.650394016874192,8.292697051313509,16.43851210650528,32.799791909425025,84.39993912598932,110.71094908391784
Adv_CCS,2035,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adv_CCS,2035,Glass,5487300.572763733,382249.6465051136,4857867.00572881,4895165.311679376,5155581.272530625,5484929.524692126,5810481.746035013,6083643.08890184,6119254.691379683
Adv_CCS,2035,Indium,171.35003429848163,49.58511239373369,113.76958919846786,116.47349758555964,135.0857597076564,159.16274554509056,193.64306248638036,270.8623208772022,298.6515667590087
Adv_CCS,2035,Lead,687829.5957606167,37671.332685264555,622485.7576173756,628334.7641218316,656300.8102119628,687505.1695425601,720598.268546751,745707.5879656974,751464.2890709434
Adv_CCS,2035,Magnesium,4281.463539661625,246.32422330970283,3882.069591111357,3903.042605464702,4063.8688533639,4280.541227949281,4496.646082358977,4666.1404698746055,4688.67150267246
Adv_CCS,2035,Manganese,75992.08787095989,542.1352685955679,75107.21327373463,75155.53932562712,75518.6731327654,75983.58898714121,76452.07610917918,76857.40066778757,76908.49113554003
Adv_CCS,2035,Molybdenum,10391.454356154638,1224.6747500246222,8358.709199490131,8496.277831711179,9339.00612410768,10375.642312033608,11440.14523857765,12302.720859794092,12490.661053812119
Adv_CCS,2035,Neodymium,15964.391528747628,8352.08598991509,2310.603250835953,2985.1588003816005,8769.248342695462,15921.445793824016,23139.708454120082,29187.55571278027,29777.286396891574
