component,explained_variance_ratio,cumulative_variance_ratio,explained_variance_pct,cumulative_variance_pct
PC1,0.3686207431537752,0.3686207431537752,36.86207431537752,36.86207431537752
PC2,0.27387128961737417,0.6424920327711494,27.387128961737417,64.24920327711494
PC3,0.11182511743501297,0.7543171502061624,11.182511743501298,75.43171502061624
PC4,0.08683215790360714,0.8411493081097695,8.683215790360714,84.11493081097696
PC5,0.057695053328191755,0.8988443614379613,5.769505332819175,89.88443614379614
PC6,0.04439037918167167,0.943234740619633,4.439037918167167,94.3234740619633
PC7,0.02854036411060346,0.9717751047302364,2.854036411060346,97.17751047302364
PC8,0.012567835139726088,0.9843429398699625,1.2567835139726087,98.43429398699625
PC9,0.00551086333329917,0.9898538032032617,0.551086333329917,98.98538032032617
PC10,0.004384057795640327,0.994237860998902,0.4384057795640327,99.4237860998902
PC11,0.003519965530975787,0.9977578265298778,0.3519965530975787,99.77578265298777
PC12,0.0019613383515436193,0.9997191648814214,0.19613383515436192,99.97191648814214
PC13,0.00021101246702226773,0.9999301773484437,0.021101246702226774,99.99301773484437
PC14,6.708505237493665e-05,0.9999972624008187,0.0067085052374936645,99.99972624008187
PC15,2.737599181442903e-06,1.0,0.0002737599181442903,100.0
