scenario,SPC1,SPC2,SPC3,SPC4
Adv_CCS,-1.2520371349389245,-4.189285030657795,-1.7439737928835968,-0.5091546846257308
Adv_CCS_CO2e_100by2035,2.536629081790614,-0.6345575030896219,0.3176776548908672,1.5134126438102928
Adv_CCS_No_TC_Expiration,-1.6572608566386169,0.8968099977856125,-0.5954932255185543,-0.5100572078069363
Adv_NG,-1.9777452346652709,0.3469707471320957,0.49052332457822,-0.2523498708437025
Adv_NG_CO2e_100by2035,2.803180900568638,-0.7045223079010218,0.6891193697699354,1.346965746599428
Adv_NG_No_TC_Expiration,-2.0325841445497512,0.43495692197701474,0.5689449037239508,-0.25523362868796845
Adv_Nuclear,-1.5113757848001301,0.46760806010840966,0.4581536711737369,-0.22002282713928165
Adv_Nuclear_CO2e_100by2035,1.8429917618608185,-7.583838421025502,-2.5771210204040136,0.4795398888482985
Adv_Nuclear_No_TC_Expiration,-1.5446584123653566,0.543531776178078,-0.17087470647614525,-0.21347327360934637
Adv_RE,-0.5555107696965325,-2.488577733175207,-2.4021627826090364,1.4514284351744757
Adv_RE_CO2e_100by2035,2.938573454496879,-0.1307386436656548,-2.4485106070839997,2.3901251111297013
Adv_RE_No_TC_Expiration,-0.940527252819582,1.3354761958587802,-2.2155636890041466,1.4174001862618262
Con_CCS,-1.39998748611063,0.6005053421999931,0.4466098580023865,-0.08623313399049738
Con_CCS_CO2e_100by2035,3.162750227346918,-0.6259913341274371,0.28698474417324416,1.2342960911513599
Con_CCS_No_TC_Expiration,-1.4606055002547176,0.6601553577400112,-0.08016422932396522,-0.07195531470521041
Con_NG,0.10599082560299253,-1.2331945692825022,2.3606932075090525,0.024165791144883285
Con_NG_CO2e_100by2035,2.911888989787758,-0.6677331874458002,0.053143321457527544,1.5619409550272727
Con_NG_No_TC_Expiration,-0.1548159883725838,1.4898322612651949,-0.7002004106092904,0.011709814338173473
Con_Nuclear,-1.5317151340091213,0.6224469033810424,0.4134954366888308,-0.22024216896726181
Con_Nuclear_CO2e_100by2035,2.678152864751328,0.02420755607050507,0.2457382817050907,1.4387919673745713
Con_Nuclear_No_TC_Expiration,-1.5641758037086078,0.699414035510563,0.02946229560909755,-0.21340114604184598
Con_RE,-2.1481096095720735,0.5489979693316821,1.0730841294731228,-2.776305879816268
Con_RE_CO2e_100by2035,3.4507167914149353,-0.6908034573806417,-0.4510563811623081,-0.5695236667339022
Con_RE_No_TC_Expiration,-2.162788107098442,0.5792578090338291,1.135843453500462,-2.765068911374328
DAC,-1.5127100951122432,0.6028031423947557,0.43270426392478367,-0.2540966756364044
DAC_CO2e_100by2035,3.0059310975888924,-0.5010282673380048,1.4760907916322734,-0.7304469226295912
DAC_No_TC_Expiration,-1.6210100917299228,0.7034984619184663,1.569403808642038,-0.24234868052129585
DC_Tran_CO2e_100by2035,2.8602528951364623,-0.1447762292788298,-0.758774982275655,-0.2363805578746072
DC_Trans,-1.374767985342069,0.7423491366496489,-0.21582090564678946,-0.16849766366444632
DC_Trans_No_TC_Expiration,-1.426127150969227,0.6995708659484742,0.2776264840164349,-0.4100519560329696
High_Demand_Growth,-0.249203717739557,1.8555819128317965,0.14572439606757284,-0.4898909394621762
High_Demand_Growth_CO2e_100by2035,4.9282739703444625,0.6273179975556602,-1.338220724512786,1.0016475724964475
High_Demand_Growth_No_TC_Expiration,-0.27611428010878614,1.9898462347786718,-0.027957649347779605,-0.48211892331763423
High_H2,-0.30146117598071626,2.5820142508149146,-0.8275455523646994,-1.8107051676165147
High_H2_CO2e_100by2035,3.678652446317058,1.789466731159676,-2.1261719998417163,0.33974786212037994
High_H2_No_TC_Expiration,-0.34595977103323533,2.5349539462913535,-0.7757366707377146,-1.813072089585871
High_H2_and_Demand,0.7814954571705718,3.396875874400181,-1.3797227347954402,-1.3599148507554737
High_H2_and_Demand_CO2e_100by2035,5.72345240141931,2.364686656986271,-2.5086151694870074,0.29498719188895667
High_H2_and_Demand_No_TC_Expiration,0.7863764247614305,3.4799970685359685,-2.0725678831133023,-1.3601851819316877
Limited_Trans,-1.8253034684302165,0.5310828945086762,0.8834633215181519,-0.046987186095539556
Limited_Trans_CO2e_100by2035,3.309643036206491,-1.1795552126547215,0.33602922261983365,2.192492353712212
Limited_Trans_No_TC_Expiration,-1.8125761111772873,0.5940696902806285,0.7659023608736187,-0.07489900208221908
Low_Demand_Growth,-2.236630187147242,-5.377359952816247,0.049654211267072625,-0.209602113450307
Low_Demand_Growth_CO2e_100by2035,1.191023882066273,-4.177526374498758,3.608650586320447,1.9654436707085532
Low_Demand_Growth_No_TC_Expiration,-2.7813039288235175,-0.5550147864620122,1.6645056252957144,-0.2525538659696601
Mid_Case,-1.5013696016393503,0.6333655537586153,0.5313457052547671,-0.2201561267453563
Mid_Case_100by2035,0.5453589053713261,-0.9722189071026123,-0.19876583926430044,0.388763868171273
Mid_Case_95by2035,0.6421116555581802,-1.0164720893322807,-1.6425571022372498,-0.2458442230290234
Mid_Case_95by2050,-1.5793351158823097,2.0659113952316313,-1.6379208477340126,-0.026700892305810464
Mid_Case_CO2e_100by2035,2.8893188904980094,-0.7036568276682267,0.24720056914740796,1.4384487174455944
Mid_Case_CO2e_95by2035,1.9420036301895267,-0.9216726392195109,0.0061121432218650155,0.27860834777453
Mid_Case_CO2e_95by2050,-1.6115344353307677,2.2586551895828766,-1.761568506587849,-0.03237468787662936
Mid_Case_NoNascent,-1.3612524603844833,0.5120631883751577,0.6001166765050024,-0.07938082629471986
