,FA1,FA2,FA3,FA4,FA5
mean_demand,0.9919795041529341,0.10578092726195931,-0.00835933357410537,-0.013190619967886395,-0.009718951412812054
peak_demand,0.9941889304300158,0.10736417272478235,-0.0024691507579568737,0.0005788483140426666,-0.000594445733242339
scenario_cv,0.02670919130126017,0.14021918866401037,0.0363481377842704,0.2161308146410989,0.19064385070667852
mean_ci_width,-0.21901715381213674,0.05309405486046798,-0.3256720344058921,-0.36234363518531715,0.11393894384750397
demand_volatility,0.9941826530171222,0.10746846675720552,-0.0013653261534313968,-0.00040938936690748423,0.0009158975222229384
demand_slope,-0.9230327812235457,-0.11282242082008138,-0.02901858169592089,-0.05163793472323871,-0.0687600567254593
n_active_scenarios,0.052871184628306686,0.05390997276948419,0.07045779068000682,0.14337360583449968,0.19351520072029565
domestic_production,0.8581817584729263,0.09189756185610101,0.025534433791022857,0.10964121279170537,0.01327201692905582
import_dependency,-0.3705645458759216,0.11900628656457313,-0.3073549272236995,-0.4007770412977799,-0.07103546300879317
crc_weighted_risk,-0.20112547442365244,0.20633483021371563,-0.951385136233611,-0.09844280361577094,0.0054534438000084715
mean_capacity_ratio,-0.18058762321345723,0.9835033365513137,0.004392452349132544,0.0011363914384777958,0.0029471370292785725
max_capacity_ratio,-0.1794729358206895,0.983701495682383,0.0037516416201225514,0.000859777134995942,-0.003995901138581984
exceedance_frequency,0.01954178849476022,0.12251880668654987,0.21026627958959662,0.006203650409962343,0.39823861074202743
cumulative_demand,0.9909061664818899,0.10504380895269518,-0.009393254132152357,-0.015470846790351642,-0.01260470358572654
reserve_consumption_pct,-0.09683279729025447,-0.07959000192704634,0.30368563613654387,0.07721131463384905,0.3168344167956003
domestic_reserve_coverage,-0.05594666673432817,-0.05311987560444585,-0.3010935300368522,0.5626194730944739,-0.025173851651944773
global_reserve_coverage,-0.11567337573465371,0.025709042592656117,-0.32706550179129523,-0.36265777491831513,0.5926579563352088
reserves_high_risk_frac,-0.2722082196966697,0.32544386003888437,0.06484937295950102,-0.1301243278546906,0.8088361601014558
reserves_oecd_frac,-0.16233942237489937,-0.07378497732860644,0.7353194102544435,0.17252087739686248,0.44212005760775264
reserves_china_frac,-0.2469919746437237,0.3959186252192714,0.02500887015181421,-0.17720505033545067,0.8301566593975567
import_china_frac,-0.06061442139637902,-0.05041976153720961,-0.36949901643657573,0.525862924508381,0.03984811852177016
import_high_risk_frac,-0.04960586095269953,-0.10437916285355958,-0.5076789477665247,0.848399104226806,0.02320426311027146
import_oecd_frac,0.16858227032969875,-0.12996077216755,0.8695076801362323,0.3403199878258915,0.12385367133940829
import_hhi,0.031874884659917904,-0.19010668086112875,0.11610583215057986,0.8960366151213078,0.07537184111169688
