,NMF1,NMF2,NMF3,NMF4,NMF5
mean_demand,0.0,1.4601527010688728,0.0,0.0,0.0
peak_demand,0.0,1.4710393107945139,0.0,0.0,0.0
scenario_cv,2.8165674295314753,1.2481476118025723,1.953903028739511,1.557918384611962,0.7894493413649916
mean_ci_width,1.2032397628488045,0.04236113652697401,0.027710213358533523,0.16035251379416302,0.5817907754527435
demand_volatility,0.0,1.470611013059582,0.0,0.0,0.0
demand_slope,4.088646259153626,0.039711834889206016,2.2926281015263275,1.7079123037731936,0.0
domestic_production,0.0,1.3431840126875574,0.0,0.012158031544960311,0.0
import_dependency,2.1362851729767787,0.054390558256161105,0.5172984019741683,0.35266941504646826,0.19753583465612162
crc_weighted_risk,2.1287846229254934,0.4302303161534418,0.12421531972854331,1.319131364504134,0.8111624727661884
mean_capacity_ratio,0.0,0.0,0.0,0.0,1.9138019303672953
max_capacity_ratio,0.0,0.0,0.0,0.0,1.902788552870417
exceedance_frequency,1.2196070490805195,0.6940884653610605,1.2335543071409547,0.3812660430147521,0.9521605527005734
cumulative_demand,0.0,1.4579534996423205,0.0,0.0,0.0
reserve_consumption_pct,0.0,0.0,0.7666045120806843,0.0,0.15357752167851374
domestic_reserve_coverage,0.0,0.0,0.0,1.069771534444013,0.0
global_reserve_coverage,0.17827726800912147,0.0,0.0,0.0,1.5446247177340324
reserves_high_risk_frac,0.0,0.0,0.6401183136350079,0.017195424231984818,2.3545733091462173
reserves_oecd_frac,0.0,0.0,1.2617734729316619,0.0,0.3071851881831854
reserves_china_frac,0.0,0.0,0.4589583979994023,0.0,2.4353923230610546
import_china_frac,0.0,0.0,0.0,1.0032815741362016,0.007871458094718675
import_high_risk_frac,0.0,0.06385060511269053,0.0215066993970865,1.580341548273676,0.0360524202409589
import_oecd_frac,0.0,0.4344952785038882,1.2525427935514142,0.049711723079159956,0.0
import_hhi,0.010212381392732152,0.28049699647011195,0.8621897669199405,1.4319300869038183,0.0
