,0
wind_fraction_2035,12.272644951499634
wind_fraction_2050,7.827574446990844
growth_rate_long_pct,7.663741139680027
solar_fraction_2035,5.879956970131271
solar_fraction_2050,5.1787130683761555
mean_cv,4.800432560824664
growth_rate_short_pct,3.52409638065568
peak_annual_growth_short_pct,2.567482984262111
