,NMF1,NMF2,NMF3,NMF4
total_cumulative_demand,1.7508225794216479,1.2244924728713331,0.0,0.0
peak_demand,1.0366237989797336,1.8003423750116017,0.3297573202087252,0.11382006668258374
mean_demand_early,1.1568049352999064,1.8564687097457362,0.23088736039831279,0.1052796161020463
year_of_peak,0.0,0.47042694531888263,0.0,0.5687791683131086
demand_slope,1.6717765133234528,0.0,0.6071355797864519,0.14758328710418112
temporal_concentration,0.0,1.3258949866126302,0.3855929205851196,0.0
mean_cv,2.4939943017332946,0.13742847236070302,0.8850537663879435,1.5385680528906258
mean_ci_width,2.522387613910097,0.2154331755922424,0.9607382131397643,1.6002372318693368
solar_fraction_2035,1.6690358344349598,2.3799027810006375,2.2227733360770348,0.0
wind_fraction_2035,1.1338490919199509,1.7262544749492559,0.3093051375448416,0.37961016800959546
storage_fraction_2035,0.33377449762254563,1.3963564064921832,1.484062401738893,0.0
supply_chain_stress,0.3337781654529674,0.0,2.1369583838570145,0.38239285628009534
peak_supply_chain_stress,0.0,0.11022123267922114,1.6864774898431838,0.7673706444394499
mean_n_exceeding_production,3.3137824256017345,0.6899553512549313,3.039594115643351,2.572449675758703
total_import_exposed_demand,1.9666614111063159,1.1547043902574288,0.0,0.0
