scenario,growth_rate_short_pct,growth_rate_long_pct,peak_annual_growth_short_pct,mean_cv,solar_fraction_2035,wind_fraction_2035,solar_fraction_2050,wind_fraction_2050
Adv_CCS,0.8661454850926446,-13.410664481543089,75.30519127841063,0.2974670843121353,0.27547965914420314,0.2648146369302226,0.30984784766500967,0.2554837479583372
Adv_CCS_CO2e_100by2035,12.701207213385453,-7.927440634061849,90.98172978803277,0.3338497196348371,0.2988934337901376,0.33578938678474995,0.3259605484518173,0.30400031742972317
Adv_CCS_No_TC_Expiration,0.4264308777355669,-2.782319396130308,75.30519127841063,0.3419472720914601,0.2751503264571169,0.2633133172424032,0.3329762029429103,0.2812677579564947
Adv_NG,1.2011573813876513,-3.5964718426941302,79.52642564865401,0.34024034944107767,0.2797574380961485,0.25362971999048134,0.33919668993600405,0.2530563785216079
Adv_NG_CO2e_100by2035,13.90056440649764,-7.731222899437491,98.60468440784136,0.3337533143105967,0.3009219671347612,0.3398316708382208,0.3259771791076789,0.3067614661476724
Adv_NG_No_TC_Expiration,0.5416636428486143,-3.126137433633179,79.52642564865401,0.34041610671102196,0.27930249186218575,0.25163861259651427,0.3354317352390929,0.25073395539587273
Adv_Nuclear,2.4182227780657994,-4.071806333823083,79.71635687241633,0.3417202213835927,0.28206580306404067,0.2659686448818179,0.338429139601049,0.26427763526703685
Adv_Nuclear_CO2e_100by2035,4.3288314383154285,-14.957008526179944,70.1729385299545,0.30539145721572064,0.28475737971641524,0.3223847718106964,0.28361236268403384,0.2680667746101332
Adv_Nuclear_No_TC_Expiration,1.7817540339352074,-3.7697743582415493,79.71635687241633,0.3419164425321396,0.28135500494445476,0.26387145169007364,0.3324570876934504,0.2661644750801738
Adv_RE,2.2788767452258454,-14.782509904376253,74.70110921456464,0.30984393734904875,0.3014814933524695,0.2721882662351804,0.31512117824006924,0.2592257085230614
Adv_RE_CO2e_100by2035,11.625245969400838,-7.792092012092377,98.1781069508472,0.3387250387790904,0.317680392978871,0.31859556409812695,0.3274517074576513,0.2948194092152933
Adv_RE_No_TC_Expiration,1.0324062129636347,-1.5562591970622164,74.74961854229326,0.3419745070651779,0.30056533975196315,0.26796802242179985,0.3274446647372305,0.30231936445471824
Con_CCS,2.9663727806795888,-3.3568297120557857,83.40629038975366,0.3409455170651643,0.28487805530873483,0.2668711031403996,0.3450820386227115,0.2731494366909699
Con_CCS_CO2e_100by2035,13.33838845831581,-7.950934398617555,105.70405451174453,0.3356870869407134,0.3048271486651597,0.34276056663933846,0.3230443940790924,0.3152953885898104
Con_CCS_No_TC_Expiration,2.3741178296356202,-3.0548740376845465,83.40629038975366,0.34093064743341545,0.28450384080641306,0.2645743959009889,0.3417090121355819,0.2716804750872139
Con_NG,-2.257705344212517,-9.252706542049014,67.6670942636018,0.33076831438711046,0.2909919256835124,0.2973984881470067,0.316495908859718,0.26779602045834544
Con_NG_CO2e_100by2035,4.494907101814326,-8.76197544426057,92.59432145194538,0.3357035309306776,0.308037557159548,0.34087085751572205,0.3243356924667416,0.31382387532503914
Con_NG_No_TC_Expiration,-2.3863392237866363,-4.269105421914937,67.96824626455215,0.3463964353300247,0.2903989142121465,0.29723179553226403,0.3379880297726827,0.3107319463447775
Con_Nuclear,2.4204059810134977,-2.913241104084462,79.71635687241633,0.3404287790281722,0.28206207071783146,0.2659777505724522,0.347592812461224,0.27093309298642654
Con_Nuclear_CO2e_100by2035,12.396305794776739,-4.864093771346081,102.6419571578818,0.3364492265051135,0.30435000209582097,0.33987219683950204,0.33628169402026376,0.3142515055131559
Con_Nuclear_No_TC_Expiration,1.785029604306622,-2.801611966678594,79.71635687241633,0.34075926296379155,0.28136519434471147,0.26386702364816306,0.3424585858840597,0.2717214640630796
Con_RE,2.662404997371346,-5.075970260679693,87.1840424929061,0.34306252826898703,0.2525022830383434,0.2605778432920317,0.32042809860495813,0.25457288192950467
Con_RE_CO2e_100by2035,14.063324755219405,-11.716716171359433,123.62660926450506,0.34246978824487023,0.2730492427254768,0.3603244265398766,0.29111658936849144,0.31731357247580105
Con_RE_No_TC_Expiration,2.524546553643125,-5.300235359547856,87.18409198942108,0.34312399335236643,0.2528205315216716,0.25972150051194837,0.3200254255310056,0.2539778529627896
DAC,2.3986143529280497,-3.1561686700869958,78.82130589756757,0.34085391535302423,0.2818868205116308,0.26600065866696615,0.3437716762132204,0.27348960644414416
DAC_CO2e_100by2035,14.82812825239796,-10.430432281449738,114.25351958250211,0.3361907646260807,0.29292985054660353,0.3291274651052449,0.3163537058694051,0.31067065137489513
DAC_No_TC_Expiration,1.7592689077965251,-3.035520378944273,78.82130589756757,0.3407657018657798,0.28128148249330354,0.26376273049429927,0.3466022374353941,0.26237763299679306
DC_Tran_CO2e_100by2035,11.589423841201517,-5.950717482033222,104.61911574404145,0.33884135401166177,0.2978035134970779,0.3655028894296317,0.32000188280726427,0.3423596547598028
DC_Trans,3.434379663460822,-2.855866164325539,83.31208693264344,0.34265500436644464,0.28813014074430726,0.2688940463829466,0.34486888570899393,0.29041881113637885
DC_Trans_No_TC_Expiration,2.1472412837076242,-3.0821752345671642,83.31208693264344,0.3424874596663903,0.2879388915670787,0.27127207563551076,0.3446972743838426,0.2845945736719911
High_Demand_Growth,8.758662249284782,-2.6718918750977045,98.82418721207462,0.3442842260260287,0.2902199943447985,0.28231658290160505,0.3513412190769934,0.2887245138638414
High_Demand_Growth_CO2e_100by2035,16.358852989129094,-6.24529019316238,128.11094896303638,0.33627084369451216,0.3139898402247222,0.34509297529360994,0.32231221221695744,0.33565531680600164
High_Demand_Growth_No_TC_Expiration,8.515990890005314,-2.3588978718862137,98.82423504523685,0.3453385877751298,0.29037566159365097,0.2808863697463228,0.35035252071722006,0.2884522888872507
High_H2,4.003802847745569,-0.7352485839769247,82.43978161139911,0.3487202105564318,0.27534079661921934,0.2909626086881026,0.3476633158838195,0.28967900912191047
High_H2_CO2e_100by2035,9.217198482391654,-3.2338646522807295,114.01628393048969,0.34461433019866294,0.30269309464424765,0.3472458695419201,0.3224253193416861,0.32079354138852173
High_H2_No_TC_Expiration,3.8251876768534943,-0.2901554611401231,82.43964981910474,0.34700316119058255,0.2752521316597093,0.29032582106240457,0.34406340622268783,0.27648063490980257
High_H2_and_Demand,8.84067508727227,0.14315944477904285,103.23903196245655,0.34670783315687553,0.28558619354586373,0.29331517227994613,0.3501788150101145,0.30095866740912924
High_H2_and_Demand_CO2e_100by2035,13.167692028251077,-3.430083319233082,144.533973485791,0.3415985571660968,0.3114254607426551,0.3400570180055045,0.3188401397681941,0.33812167460337356
High_H2_and_Demand_No_TC_Expiration,8.840959290182344,-0.17088415852801173,103.23903196245655,0.3458001306857217,0.2855785163675368,0.2933277750048674,0.3473834616858585,0.2996777055732071
Limited_Trans,2.212780147845136,-3.2776482384192906,69.54055688539313,0.3397615202813133,0.2773063567285114,0.2570819917929531,0.34273265404557945,0.2483690291463611
Limited_Trans_CO2e_100by2035,13.779407182056364,-8.187636741122958,99.43383368172127,0.3282100828825338,0.30875206657714255,0.3077323816905287,0.32282939914727427,0.2833717248262079
