scen_cluster,0,1,2,3,4,5,6
0,10803919.27986664,0.0,4347340657.020528,25785.038536045482,7742217.18712057,1518983.5036367513,861201168.7821739
1,19896397.451661628,0.0,8148427938.8536825,48079.99730551328,15616844.279456675,2874996.629537301,1920361860.331824
2,844808.8818645003,0.0,391258858.5030925,2250.036887382805,927056.2723564168,123323.65777857389,94769636.21272697
3,525055.8323561258,0.0,260385449.11539888,1530.5244895304536,727860.9299080361,76942.63375014417,58308622.86600994
4,1619282.478455164,0.0,699548164.2212642,4238.199009557324,1629066.4386850118,231054.3261930135,148722584.98567766
