cluster,total_cumulative_demand,peak_demand,mean_demand_early,year_of_peak,demand_slope,temporal_concentration,mean_cv,mean_ci_width,solar_fraction_2035,wind_fraction_2035,storage_fraction_2035,n_active_materials,supply_chain_stress,peak_supply_chain_stress,mean_n_exceeding_production,peak_n_exceeding_production,total_import_exposed_demand
0,223280054.03566515,70503325.28067851,50371563.284555346,2033.0,-926322.3155793478,4.316280865697131,0.30375749858125806,1.0778585390646935,0.30472655144405547,0.2826818828998822,0.07314913004781598,30.0,0.1688418855913231,0.2423119918823774,15.25925925925926,18.0,77699589.35510902
1,318410975.7114283,101563258.32737792,71995854.54281786,2034.8333333333333,-1119292.9077660346,3.739895231322593,0.3363673890074926,1.1919669493319591,0.2998434909487683,0.33640152762521697,0.07190638270249483,30.0,0.16450891384324842,0.24115296227532187,16.0,18.0,105239153.5807849
2,268229371.55274412,58721159.096083604,42614569.276526056,2032.3243243243244,133174.43658113404,1.4756102021289375,0.3402376332419705,1.2006264225544507,0.27974552700076266,0.26405837013000033,0.06006005915061696,30.0,0.17349655314945403,0.2430363796996746,16.0,18.0,96158158.05405697
