Technology,Material,n,Distribution,Mean,CV (observed),CV (fitted),CV (inflated),Inflation factor,Low-N (<5)
Coal CCS,Nickel,3,lognormal,9.7,0.158,0.134,0.268,2.0,Yes
Gas,Manganese,3,lognormal,145.0,0.325,0.254,0.509,2.0,Yes
Gas,Nickel,3,lognormal,9.7,0.158,0.134,0.268,2.0,Yes
Gas CCS,Manganese,3,lognormal,145.0,0.325,0.254,0.509,2.0,Yes
Gas CCS,Nickel,3,lognormal,9.7,0.158,0.134,0.268,2.0,Yes
Geothermal,Copper,3,lognormal,7333.3,1.37,2.538,5.076,2.0,Yes
Hydro,Copper,3,lognormal,1840.7,0.545,0.452,0.904,2.0,Yes
NGCC,Manganese,3,lognormal,145.0,0.325,0.254,0.509,2.0,Yes
NGCC,Nickel,3,lognormal,9.7,0.158,0.134,0.268,2.0,Yes
NGGT,Manganese,3,lognormal,145.0,0.325,0.254,0.509,2.0,Yes
NGGT,Nickel,3,lognormal,9.7,0.158,0.134,0.268,2.0,Yes
Nuclear New,Silver,3,lognormal,1.0,0.0,0.0,0.0,2.0,Yes
Solar Distributed,Glass,3,lognormal,63366.7,0.139,0.118,0.237,2.0,Yes
offshore wind,Lead,3,lognormal,5743.3,0.295,0.275,0.55,2.0,Yes
offshore wind,Terbium,3,lognormal,6.4,0.084,0.067,0.135,2.0,Yes
onshore wind,Boron,3,lognormal,2.7,1.083,1.02,2.041,2.0,Yes
onshore wind,Fiberglass,3,lognormal,8653.3,0.13,0.11,0.22,2.0,Yes
onshore wind,Manganese,3,lognormal,790.0,0.013,0.01,0.021,2.0,Yes
utility-scale solar pv,Glass,3,lognormal,63366.7,0.139,0.118,0.237,2.0,Yes
ASIGE,Cement,4,lognormal,7413.5,0.317,0.282,0.422,1.5,Yes
Biomass,Copper,4,lognormal,490.8,0.075,0.064,0.097,1.5,Yes
CDTE,Cement,4,lognormal,7413.5,0.317,0.282,0.422,1.5,Yes
CIGS,Cement,4,lognormal,7413.5,0.317,0.282,0.422,1.5,Yes
Coal,Aluminum,4,lognormal,394.8,0.428,0.366,0.549,1.5,Yes
Coal,Copper,4,lognormal,490.8,0.075,0.064,0.097,1.5,Yes
Coal CCS,Aluminum,4,lognormal,394.8,0.428,0.366,0.549,1.5,Yes
Coal CCS,Copper,4,lognormal,588.8,0.074,0.064,0.096,1.5,Yes
Coal CCS,Steel,4,lognormal,75764.8,0.194,0.165,0.248,1.5,Yes
Gas,Cement,4,lognormal,11118.2,0.311,0.276,0.413,1.5,Yes
Gas,Copper,4,lognormal,490.8,0.075,0.064,0.097,1.5,Yes
Gas CCS,Cement,4,lognormal,16216.5,0.403,0.412,0.618,1.5,Yes
Gas CCS,Copper,4,lognormal,588.8,0.074,0.064,0.096,1.5,Yes
Hydro,Steel,4,lognormal,83575.0,0.789,0.804,1.207,1.5,Yes
NGCC,Cement,4,lognormal,11118.2,0.311,0.276,0.413,1.5,Yes
NGCC,Copper,4,lognormal,490.8,0.075,0.064,0.097,1.5,Yes
NGGT,Cement,4,lognormal,11118.2,0.311,0.276,0.413,1.5,Yes
NGGT,Copper,4,lognormal,490.8,0.075,0.064,0.097,1.5,Yes
Nuclear New,Aluminum,4,lognormal,37.5,0.416,0.436,0.654,1.5,Yes
Nuclear New,Manganese,4,lognormal,343.0,0.332,0.315,0.472,1.5,Yes
Solar Distributed,Aluminum,4,lognormal,21863.2,0.536,0.469,0.704,1.5,Yes
a-Si,Indium,4,lognormal,7.0,0.615,0.481,0.722,1.5,Yes
offshore wind,Cement,4,lognormal,181.0,0.249,0.222,0.332,1.5,Yes
offshore wind,Chromium,4,lognormal,352.4,0.212,0.18,0.27,1.5,Yes
offshore wind,Nickel,4,lognormal,177.4,0.749,0.568,0.852,1.5,Yes
offshore wind,Praseodymium,4,lognormal,32.4,0.061,0.052,0.078,1.5,Yes
onshore wind,Molybdenum,4,lognormal,100.6,0.186,0.173,0.26,1.5,Yes
utility-scale solar pv,Aluminum,4,lognormal,21863.2,0.536,0.469,0.704,1.5,Yes
Nuclear New,Copper,5,lognormal,1291.8,0.389,0.372,0.558,1.5,No
Nuclear New,Nickel,5,lognormal,201.4,0.927,1.055,1.583,1.5,No
Solar Distributed,Nickel,5,lognormal,1.1,0.133,0.119,0.178,1.5,No
offshore wind,Fiberglass,5,lognormal,8809.8,0.309,0.309,0.464,1.5,No
utility-scale solar pv,Nickel,5,lognormal,1.1,0.133,0.119,0.178,1.5,No
CdTe,Copper,6,lognormal,2502.3,0.928,3.995,4.794,1.2,No
Nuclear New,Steel,6,lognormal,31983.7,0.582,0.904,1.085,1.2,No
Solar Distributed,Cement,6,lognormal,7705.2,0.285,0.27,0.324,1.2,No
Solar Distributed,Lead,6,lognormal,77.5,1.67,3.127,3.752,1.2,No
onshore wind,Cement,6,lognormal,54093.8,0.254,0.237,0.285,1.2,No
utility-scale solar pv,Cement,6,lognormal,7705.2,0.285,0.27,0.324,1.2,No
utility-scale solar pv,Lead,6,lognormal,77.5,1.67,3.127,3.752,1.2,No
Geothermal,Aluminum,7,lognormal,16165.9,1.195,2.286,2.743,1.2,No
Geothermal,Cement,8,lognormal,393824.6,0.953,1.105,1.326,1.2,No
Geothermal,Steel,8,lognormal,544709.0,0.868,1.128,1.353,1.2,No
Hydro,Cement,8,lognormal,1007209.8,0.345,0.32,0.385,1.2,No
Nuclear New,Cement,9,lognormal,36852.9,0.428,0.425,0.51,1.2,No
onshore wind,Chromium,10,lognormal,526.5,0.404,0.41,0.491,1.2,No
Solar Distributed,Copper,11,lognormal,2614.2,1.15,1.804,2.133,1.18,No
utility-scale solar pv,Copper,11,lognormal,2614.2,1.15,1.804,2.133,1.18,No
Coal,Cement,12,lognormal,14525.0,0.499,0.55,0.642,1.17,No
Coal CCS,Cement,12,lognormal,20696.5,0.553,0.576,0.672,1.17,No
