Technology,Material,n,Distribution,CV (observed),CV (fitted),cv_old,cv_new,cv_diff,cv_ratio,cv_source,blend_weight,cv_reference
Nuclear New,Steel,6,lognormal,0.5820,0.9040,1.0850,0.7587,-0.3263,0.6992,blend:mat:Steel,0.3000,0.4195
Solar Distributed,Cement,6,lognormal,0.2850,0.2700,0.3240,0.7302,0.4062,2.2537,blend:tech:Solar Distributed,0.3000,1.8040
Solar Distributed,Lead,6,lognormal,1.6700,3.1270,3.7520,2.7301,-1.0219,0.7276,blend:tech:Solar Distributed,0.3000,1.8040
onshore wind,Cement,6,lognormal,0.2540,0.2370,0.2850,0.5706,0.2856,2.0021,blend:tech:onshore wind,0.3000,1.3490
utility-scale solar pv,Cement,6,lognormal,0.2850,0.2700,0.3240,0.7302,0.4062,2.2537,blend:tech:utility-scale solar pv,0.3000,1.8040
utility-scale solar pv,Lead,6,lognormal,1.6700,3.1270,3.7520,2.7301,-1.0219,0.7276,blend:tech:utility-scale solar pv,0.3000,1.8040
Geothermal,Aluminum,7,lognormal,1.1950,2.2860,2.7430,2.0151,-0.7279,0.7346,blend:mat:Aluminum,0.3000,1.3830
Geothermal,Cement,8,lognormal,0.9530,1.1050,1.3260,0.9424,-0.3836,0.7107,blend:mat:Cement,0.3000,0.5630
Geothermal,Steel,8,lognormal,0.8680,1.1280,1.3530,0.9154,-0.4376,0.6766,blend:mat:Steel,0.3000,0.4195
Hydro,Cement,8,lognormal,0.3450,0.3200,0.3850,0.3929,0.0079,1.0205,blend:mat:Cement,0.3000,0.5630
Nuclear New,Cement,9,lognormal,0.4280,0.4250,0.5100,0.4664,-0.0436,0.9145,blend:mat:Cement,0.3000,0.5630
onshore wind,Chromium,10,lognormal,0.4040,0.4100,0.4910,0.4100,-0.0810,0.8350,tech:onshore wind,0.0000,1.3490
Solar Distributed,Copper,11,lognormal,1.1500,1.8040,2.1330,1.8040,-0.3290,0.8458,tech:Solar Distributed,0.0000,1.8040
utility-scale solar pv,Copper,11,lognormal,1.1500,1.8040,2.1330,1.8040,-0.3290,0.8458,tech:utility-scale solar pv,0.0000,1.8040
Coal,Cement,12,lognormal,0.4990,0.5500,0.6420,0.5500,-0.0920,0.8567,tech:Coal,0.0000,0.5500
Coal CCS,Cement,12,lognormal,0.5530,0.5760,0.6720,0.5760,-0.0960,0.8571,tech:Coal CCS,0.0000,0.5760
CIGS,Copper,13,lognormal,1.7000,12.5920,14.5290,12.5920,-1.9370,0.8667,tech:CIGS,0.0000,1.9360
onshore wind,Nickel,13,lognormal,0.5670,0.6650,0.7680,0.6650,-0.1030,0.8659,tech:onshore wind,0.0000,1.3490
Solar Distributed,Silicon,15,lognormal,0.5540,5.4110,6.1330,5.4110,-0.7220,0.8823,tech:Solar Distributed,0.0000,1.8040
onshore wind,Praseodymium,15,lognormal,1.3150,2.6040,2.9510,2.6040,-0.3470,0.8824,tech:onshore wind,0.0000,1.3490
utility-scale solar pv,Silicon,15,lognormal,0.5540,5.4110,6.1330,5.4110,-0.7220,0.8823,tech:utility-scale solar pv,0.0000,1.8040
