technology,material,n_samples,mean,std,median,q25,q75,min,max,use_parametric,recommendation,best_distribution,ks_statistic,ks_pvalue,ad_statistic,aic,bic,param_s,param_loc,param_scale
Gas CCS,Aluminum,2,0.217,0.018384776310850254,0.217,0.2105,0.2235,0.204,0.23,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.060 → 0.881, median preserved: 0.22)",lognormal,0.34134474606854337,0.9332490989253867,0.35928298207961307,-5.697867638598799,-9.618426096918963,0.7577901535924403,0,0.217
Gas CCS,Cement,4,16.2165,6.533013061877855,16.435,13.584,19.0675,8.067,23.929,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.412 → 0.881, median preserved: 16.43)",lognormal,0.2715496887897293,0.8531376449242739,0.3076509160268541,31.650460599750502,29.809343683110175,0.7577901535924403,0,16.435
Gas CCS,Copper,4,0.58875,0.04385107372307623,0.5825,0.5599999999999999,0.61125,0.545,0.645,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.064 → 0.881, median preserved: 0.58)",lognormal,0.22985630484630626,0.9535795420557024,0.2406339910866393,-8.908245825783354,-10.749362742423681,0.7577901535924403,0,0.5825
Gas CCS,Manganese,3,0.145,0.04714870093650514,0.124,0.118,0.1615,0.112,0.199,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.254 → 0.881, median preserved: 0.12)",lognormal,0.35605039384627385,0.716307501780509,0.4215672264471464,-5.575781383846946,-8.279944517842617,0.7577901535924403,0,0.124
Gas CCS,Nickel,3,0.009666666666666667,0.0015275252316519464,0.01,0.009000000000000001,0.010499999999999999,0.008,0.011,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.134 → 0.881, median preserved: 0.01)",lognormal,0.29191500645886853,0.9056901246246456,0.31769770988294654,-25.457044942349498,-28.16120807634517,0.7577901535924403,0,0.01
Gas CCS,Steel,2,62.8525,21.745654841829896,62.8525,55.164249999999996,70.54075,47.476,78.229,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.254 → 0.881, median preserved: 62.85)",lognormal,0.34134474606854304,0.9332490989253871,0.35928298207961307,22.565632265512885,18.64507380719272,0.7577901535924403,0,62.8525
Geothermal,Aluminum,7,16.165857142857142,19.310868204447043,9.729,1.993,26.399,1.448,45.2,True,"Forced lognormal distribution (n=7, KS p=0.8088, AIC=57.83)",lognormal,0.22308011736525835,0.808784366243167,0.46492369510745135,57.83060567629137,57.66833612345731,1.3523049947501362,0,7.253158625834944
Geothermal,Cement,8,393.824625,375.4086409078351,251.833,169.2145,480.738,76.061,988.0,True,"Forced lognormal distribution (n=8, KS p=0.9221, AIC=116.23)",lognormal,0.1791221900483807,0.9220888801125507,0.38291107145423453,116.23170556105259,116.4700301860921,0.8932742602293339,0,265.97562980280054
Geothermal,Copper,3,7.333333333333333,10.05004041451244,2.518,1.5574999999999999,10.701500000000001,0.597,18.885,True,"CV borrowed from median of n>5 pairs (n=3, CV: 2.538 → 0.881, median preserved: 2.52)",lognormal,0.2342570048529814,0.9851783997557685,0.25834556815272913,23.29553846841919,20.591375334423518,0.7577901535924403,0,2.518
Geothermal,Steel,8,544.709,472.94138969915866,325.5,145.65175,978.479,124.933,1206.0,True,"Forced lognormal distribution (n=8, KS p=0.7586, AIC=121.74)",lognormal,0.22013477799248005,0.7586470002587107,0.550896879312381,121.7375068371172,121.9758314621567,0.9058972491835161,0,369.9933509173323
Hydro,Aluminum,1,0.052,0.0,0.052,0.052,0.052,0.052,0.052,True,"CV borrowed from median of n>5 pairs (n=1, CV: 0.996 → 0.881, median preserved: 0.05)",lognormal,0.0,1.0,0.0,0.0,0.0,0.7577901535924403,0,0.052
Hydro,Cement,8,1007.20975,347.04008826184,995.68,763.43475,1120.422,594.619,1685.28,True,"Forced lognormal distribution (n=8, KS p=0.9930, AIC=119.95)",lognormal,0.13612932240824782,0.9929887084787942,0.16644203160891102,119.94847281196903,120.18679743700854,0.3126722732989331,0,958.5681922270122
Hydro,Copper,3,1.8406666666666667,1.0038034336130424,1.502,1.276,2.236,1.05,2.97,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.452 → 0.881, median preserved: 1.50)",lognormal,0.2654595730500898,0.9537173173515271,0.2896220888586254,12.556079198484904,9.851916064489233,0.7577901535924403,0,1.502
Hydro,Steel,4,83.575,65.9776919369974,66.25,47.075,102.75,24.8,177.0,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.804 → 0.881, median preserved: 66.25)",lognormal,0.16962009574266812,0.9984778648477849,0.20144702846623286,48.05418701353656,46.21307009689623,0.7577901535924403,0,66.25
NGCC,Aluminum,2,0.217,0.018384776310850254,0.217,0.2105,0.2235,0.204,0.23,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.060 → 0.881, median preserved: 0.22)",lognormal,0.34134474606854337,0.9332490989253867,0.35928298207961307,-5.697867638598799,-9.618426096918963,0.7577901535924403,0,0.217
NGCC,Cement,4,11.11825,3.4547058123666625,10.7415,9.3975,12.462250000000001,7.35,15.64,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.276 → 0.881, median preserved: 10.74)",lognormal,0.1686152991322546,0.9986104101092601,0.2077484950798203,25.87004528924131,24.028928372600983,0.7577901535924403,0,10.7415
NGCC,Copper,4,0.49075,0.0367820155329567,0.4855,0.46675,0.5095000000000001,0.454,0.538,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.064 → 0.881, median preserved: 0.49)",lognormal,0.2279702560087043,0.9568303632430082,0.23907089088003275,-10.31581898408584,-12.156935900726168,0.7577901535924403,0,0.4855
NGCC,Manganese,3,0.145,0.04714870093650514,0.124,0.118,0.1615,0.112,0.199,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.254 → 0.881, median preserved: 0.12)",lognormal,0.35605039384627385,0.716307501780509,0.4215672264471464,-5.575781383846946,-8.279944517842617,0.7577901535924403,0,0.124
NGCC,Nickel,3,0.009666666666666667,0.0015275252316519464,0.01,0.009000000000000001,0.010499999999999999,0.008,0.011,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.134 → 0.881, median preserved: 0.01)",lognormal,0.29191500645886853,0.9056901246246456,0.31769770988294654,-25.457044942349498,-28.16120807634517,0.7577901535924403,0,0.01
NGCC,Steel,2,41.08,14.212846301849606,41.08,36.055,46.105000000000004,31.03,51.13,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.254 → 0.881, median preserved: 41.08)",lognormal,0.34134474606854315,0.933249098925387,0.3592829820796135,20.864561186621106,16.94400272830094,0.7577901535924403,0,41.08
NGGT,Aluminum,2,0.217,0.018384776310850254,0.217,0.2105,0.2235,0.204,0.23,True,"CV borrowed from median of n>5 pairs (n=2, CV: 0.060 → 0.881, median preserved: 0.22)",lognormal,0.34134474606854337,0.9332490989253867,0.35928298207961307,-5.697867638598799,-9.618426096918963,0.7577901535924403,0,0.217
NGGT,Cement,4,11.11825,3.4547058123666625,10.7415,9.3975,12.462250000000001,7.35,15.64,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.276 → 0.881, median preserved: 10.74)",lognormal,0.1686152991322546,0.9986104101092601,0.2077484950798203,25.87004528924131,24.028928372600983,0.7577901535924403,0,10.7415
NGGT,Copper,4,0.49075,0.0367820155329567,0.4855,0.46675,0.5095000000000001,0.454,0.538,True,"CV borrowed from median of n>5 pairs (n=4, CV: 0.064 → 0.881, median preserved: 0.49)",lognormal,0.2279702560087043,0.9568303632430082,0.23907089088003275,-10.31581898408584,-12.156935900726168,0.7577901535924403,0,0.4855
NGGT,Manganese,3,0.145,0.04714870093650514,0.124,0.118,0.1615,0.112,0.199,True,"CV borrowed from median of n>5 pairs (n=3, CV: 0.254 → 0.881, median preserved: 0.12)",lognormal,0.35605039384627385,0.716307501780509,0.4215672264471464,-5.575781383846946,-8.279944517842617,0.7577901535924403,0,0.124
