year,material,mean,std,p2,p5,p25,p50,p75,p95,p97
2026,Aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Boron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Cadmium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Chromium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Dysprosium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Fiberglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Gadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Gallium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Indium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Lead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Magnesium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Manganese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Molybdenum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Neodymium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Nickel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Niobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Praseodymium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Selenium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Silicon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Silver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Tellurium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Terbium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Tin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Vanadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Yttrium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Zinc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,Aluminum,114923679.5949704,32753642.521752298,79219343.94927962,81345817.87123622,91905955.14569369,105925411.88178128,127597957.74699782,179765529.46951136,201627418.00609925
2029,Boron,10031.69857840311,3344.252535888843,7520.16548539841,7591.051159741965,7974.23291107025,8789.881742176793,10795.065633568414,16652.5118217244,19520.912627669593
2029,Cadmium,81025.41200833739,49416.59580053388,12619.13654003463,19415.49803222469,46535.76774380892,71817.58818480276,104973.69588627169,173786.13908047925,205786.46769306678
2029,Cement,360476906.63666177,49455224.081729956,276148775.9941141,283274711.72197723,319492474.644256,359641304.9779657,401482784.7385957,436658389.80803204,445605284.93963104
2029,Chromium,2883676.669150385,896540.0610761059,1396847.215184019,1480387.1642435323,2119746.781840818,2882057.9308845364,3653245.8951374087,4281888.287690311,4360897.793844589
2029,Copper,29695015.745910097,14881171.51414369,12731090.912568007,14136466.71011523,19809406.56921298,26084900.551826708,35285735.06872197,56657302.47598607,67172494.1988082
2029,Dysprosium,49218.03164579182,51027.77897841162,7949.711449975859,9516.856965483572,17269.617356992632,30459.401121038318,62275.55011669717,150072.15297902792,192302.58056072783
2029,Fiberglass,43580176.165603176,3025186.2333761905,38376267.12017008,38861290.71230366,41017954.87438452,43573396.520230666,46176406.00657351,48305112.47544663,48742507.9352922
2029,Gadium,6532.698990404638,2464.297726273001,2509.621506528481,2703.1613063493355,4362.848533393439,6535.727488329634,8676.467498595732,10344.588346918817,10548.793362859085
2029,Gallium,9886.505324141091,13026.537023762477,650.4710519313006,1009.7353521850532,3037.691388730729,6242.5137899086785,11853.644991687463,30686.086069742196,43604.779214605594
2029,Germanium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,Glass,384059137.8211006,22720539.635492787,344509545.36448133,348100956.95834196,364789919.03231394,384421469.30942976,403244587.05758685,418848094.5748485,422444077.17633915
2029,Indium,42469.75353661359,18385.39742410916,21413.92136468831,22488.143879834606,28940.055641172465,37676.12220237186,51071.977702282675,78816.55551425827,89741.25123738583
2029,Lead,34127464.234245434,1882702.534181392,30928689.253253277,31190517.094466303,32524191.846006345,34129984.86200709,35718100.75551533,37054292.03510108,37343647.49099433
2029,Magnesium,279703.31709789665,14137.041502599133,255911.4248468704,257771.35703475075,267629.34166229254,279649.9671694471,291753.93445540284,301601.3053178423,303391.60208971286
2029,Manganese,3836694.411506537,28427.806297873532,3787250.156654829,3792195.1155340127,3812758.57449229,3836536.8142228643,3860768.8832622226,3881161.091249747,3885573.3841477013
2029,Molybdenum,596838.256756103,73137.36076657112,460669.43398028635,478921.66634555836,542249.0565850363,596351.5729934695,650683.7922976784,716571.6874153403,735028.4995422469
