technology,material,n_samples,mean,std,median,q25,q75,min,max,use_parametric,recommendation,best_distribution,ks_statistic,ks_pvalue,ad_statistic,aic,bic,param_loc,param_scale,param_min,param_max,param_a,param_s
NGGT,Copper,4,0.49075,0.0367820155329567,0.4855,0.46675,0.5095000000000001,0.454,0.538,True,"Using gamma distribution (n=4, KS p=0.4942). Best AIC rejected: lognormal: Lognormal shape s=14.83 > 3.0",gamma,0.3825544161597233,0.4942165979494909,4.473833721252806,-41.50894996531264,-43.35006688195297,0.45399999999999996,0.04061777151608149,,,0.5103546856321559,
NGGT,Manganese,3,0.145,0.04714870093650514,0.124,0.118,0.1615,0.112,0.199,True,"Using gamma distribution (n=3, KS p=0.1227). Best AIC rejected: lognormal: Lognormal shape s=16.70 > 3.0",gamma,0.6160089310288113,0.12272314213534788,3.622948457621427,-56.56702618659896,-59.27118932059463,0.11199999999999999,0.023509946887400983,,,0.08870662441064983,
NGGT,Nickel,3,0.009666666666666667,0.0015275252316519464,0.01,0.009000000000000001,0.010499999999999999,0.008,0.011,True,"Using uniform distribution (n=3, KS p=0.7778). Best AIC rejected: lognormal: Lognormal shape s=16.45 > 3.0",uniform,0.33333333333333354,0.7777777777777772,13.85464465615646,-30.854857941884163,-32.65763336454794,0.008,0.002999999999999999,0.008,0.011,,
NGGT,Steel,2,41.08,14.212846301849606,41.08,36.055,46.105000000000004,31.03,51.13,True,"Using uniform distribution (n=2, KS p=0.5000). Best AIC rejected: lognormal: Lognormal shape s=18.14 > 3.0",uniform,0.5,0.5,21.025850888870277,16.002879260260123,13.389173621380012,31.03,20.1,31.03,51.13,,
Nuclear New,Aluminum,4,0.0375,0.015588457268119896,0.039,0.02925,0.04725,0.018,0.054,True,"Using uniform distribution (n=4, KS p=0.9062). Best AIC rejected: lognormal: Lognormal shape s=15.80 > 3.0",uniform,0.25,0.90625,10.242595984971066,-22.593890724208215,-23.821302001968434,0.018,0.036000000000000004,0.018,0.054000000000000006,,
Nuclear New,Cement,9,36.852888888888884,15.767423508966552,30.4,22.872,51.125,19.6,61.42,True,"Using gamma distribution (n=9, KS p=0.0548, AIC=42.48)",gamma,0.4246423994512734,0.05480929505963761,3.9614387504275435,42.48129862076001,43.072972352768666,19.599999999999998,19.183915411427307,,,0.4150330629591433,
Nuclear New,Copper,5,1.2917999999999998,0.5020893346805925,1.345,0.907,1.481,0.726,2.0,True,"Using gamma distribution (n=5, KS p=0.1698). Best AIC rejected: lognormal: Lognormal shape s=14.49 > 3.0",gamma,0.4628622356244082,0.16982119257915007,2.597491592431382,-8.21768385636269,-9.38937011906039,0.7259999995241955,0.716384124471549,,,0.3822361271804342,
Nuclear New,Manganese,4,0.343,0.11371015785759865,0.348,0.27425,0.41675,0.209,0.467,True,"Using uniform distribution (n=4, KS p=0.9062). Best AIC rejected: lognormal: Lognormal shape s=15.73 > 3.0",uniform,0.25,0.90625,10.229392000100834,-6.838365552484158,-8.065776830244376,0.209,0.258,0.209,0.46699999999999997,,
Nuclear New,Nickel,5,0.20140000000000002,0.18663011546907426,0.1,0.074,0.3,0.049,0.484,True,"Using gamma distribution (n=5, KS p=0.3766). Best AIC rejected: lognormal: Lognormal shape s=14.95 > 3.0",gamma,0.37684493952526865,0.376635502821955,5.502846491148793,-28.82807592236614,-29.999762185063837,0.048999999999999995,0.09177218549165717,,,0.5581099955113105,
Nuclear New,Silver,3,0.001,0.0,0.001,0.001,0.001,0.001,0.001,True,"Using uniform distribution (n=3, KS p=0.3333, AIC=-47.10)",uniform,0.5,0.3333333333333333,1.1588830833596715,-47.10315914849742,-48.9059345711612,0.0009,0.0002000000000000001,0.0009,0.0011,,
Nuclear New,Steel,6,31.983666666666668,18.621896516377344,39.637,16.517,44.417249999999996,7.407,50.4,True,"Using uniform distribution (n=6, KS p=0.4235). Best AIC rejected: lognormal: Lognormal shape s=14.09 > 3.0",uniform,0.33331007373293337,0.4235214913968919,7.725219701293652,49.13244774092853,48.715966679384636,7.407,42.992999999999995,7.407,50.39999999999999,,
Solar Distributed,Aluminum,4,21.86325,11.721936796024794,19.0,16.98825,23.875,10.953,38.5,True,"Using gamma distribution (n=4, KS p=0.2881). Best AIC rejected: lognormal: Lognormal shape s=15.80 > 3.0",gamma,0.4519145065106289,0.28805269596929683,5.912032121852022,29.127012139805394,27.285895223165067,10.952999999999998,7.228966103388295,,,0.9250327691274813,
Solar Distributed,Cement,6,7.705166666666667,2.193008291517993,7.1475,6.5665,9.44,4.847,10.512,True,"Using uniform distribution (n=6, KS p=0.7404). Best AIC rejected: lognormal: Lognormal shape s=13.34 > 3.0",uniform,0.25707561047366867,0.7403608141706313,7.006063142438784,24.811682733759636,24.395201672215745,4.847,5.665,4.847,10.512,,
Solar Distributed,Copper,11,2.614181818181818,3.0072377298172426,0.884,0.6415,4.8705,0.25,7.53,True,"Using gamma distribution (n=11, KS p=0.3720). Best AIC rejected: lognormal: Lognormal shape s=10.87 > 3.0",gamma,0.2618071444590666,0.37201370304526027,3.6115317583943796,16.916431980777496,18.110117799172606,0.24999999999999994,2.0099107315861717,,,0.5405848892130154,
Solar Distributed,Glass,3,63.36666666666667,8.787680771018788,66.7,60.05,68.35,53.4,70.0,True,"Using uniform distribution (n=3, KS p=0.4120). Best AIC rejected: lognormal: Lognormal shape s=16.63 > 3.0",uniform,0.4678714859437753,0.4120308591991224,14.187686146405039,20.85641617217499,19.053640749511207,53.4,16.6,53.4,70.0,,
Solar Distributed,Lead,5,0.025769999999999998,0.029542591287833906,0.00632,0.006,0.039,0.00553,0.072,True,"Using gamma distribution (n=5, KS p=0.1965). Best AIC rejected: lognormal: Lognormal shape s=14.68 > 3.0",gamma,0.44874916376359736,0.19646124535961407,6.197493727509707,-44.769260756731306,-45.940947019429004,0.0055299999999999985,0.013840496753960775,,,0.686048198556843,
Solar Distributed,Magnesium,1,0.0535,0.0,0.0535,0.0535,0.0535,0.0535,0.0535,True,Single data point - using narrow uniform distribution around 0.053,uniform,0.0,1.0,0.0,0.0,0.0,0.04815,0.010700000000000008,0.04815,0.058850000000000006,,
Solar Distributed,Nickel,5,0.00114,0.00015165750888103096,0.0011,0.001,0.0013,0.001,0.0013,True,"Using gamma distribution (n=5, KS p=0.0978). Best AIC rejected: lognormal: Lognormal shape s=16.90 > 3.0",gamma,0.5113089184823134,0.09776149419624748,5.022752607089341,-124.58614274276655,-125.75782900546426,0.0009999999999579896,0.0001339589669247395,,,0.22337970243134436,
Solar Distributed,Silicon,15,4.899933333333333,2.2372122469929487,4.0,3.3985000000000003,6.6295,0.638,9.0,True,"Using uniform distribution (n=15, KS p=0.5115, AIC=67.71)",uniform,0.20169018576098224,0.511495661396516,3.2071072489309813,67.7109289880312,69.12702939023562,0.638,8.362,0.638,9.0,,
Solar Distributed,Silver,30,0.03363129166666667,0.023070446499113592,0.029728125,0.01725,0.0448421875,0.004,0.084,True,"Using uniform distribution (n=30, KS p=0.0059, AIC=-147.54)",uniform,0.30372395833333327,0.005942952008463065,4.718749715494326,-147.54371865849538,-144.74132389517106,0.004,0.08,0.004,0.084,,
Solar Distributed,Steel,2,55.95,0.07071067811865576,55.95,55.925,55.975,55.9,56.0,True,"Using uniform distribution (n=2, KS p=0.5000). Best AIC rejected: lognormal: Lognormal shape s=15.14 > 3.0",uniform,0.5,0.5,21.025850888870277,-5.210340371976127,-7.824046010856236,55.9,0.10000000000000142,55.9,56.0,,
Solar Distributed,Tin,1,0.577,0.0,0.577,0.577,0.577,0.577,0.577,True,Single data point - using narrow uniform distribution around 0.577,uniform,0.0,1.0,0.0,0.0,0.0,0.5193,0.11540000000000006,0.5193,0.6347,,
a-Si,Aluminum,3,20.69333333333333,9.185642782806946,15.39,15.39,23.345,15.39,31.3,True,"Using gamma distribution (n=3, KS p=0.0741). Best AIC rejected: lognormal: Lognormal shape s=17.32 > 3.0",gamma,0.6666022536063263,0.07411704100748603,12.254949950339316,-66.94471415643724,-69.64887729043292,15.389999999999997,3.3412779152568897,,,0.28294804484601654,
a-Si,Cadmium,1,0.00661,0.0,0.00661,0.00661,0.00661,0.00661,0.00661,True,Single data point - using narrow uniform distribution around 0.007,uniform,0.0,1.0,0.0,0.0,0.0,0.005949,0.0013220000000000011,0.005949,0.007271000000000001,,
