Technology,Material,n,Distribution,Mean,Median,Std (observed),CV (observed),IQR,p2.5,p97.5,95% CI width (observed),Std (fitted),CV (fitted),95% CI width (fitted),CI width / mean,Inflation factor,Std (inflated),CV (inflated),95% CI width (inflated),Low-N (<5)
Coal,Aluminum,4,lognormal,394.75,350.0,168.93070571489758,0.42794352302697297,195.75,256.95,608.625,351.675,144.1997542602305,0.36601813083138324,556.6223206807363,1.4128585893906656,1.5,216.29963139034572,0.5490271962470749,834.9334810211044,Yes
Coal,Copper,4,lognormal,490.75,485.5,36.782015532956684,0.07495061748946853,42.75,455.275,535.15,79.875,31.577303192393337,0.064345852515116,123.72441538998874,0.2521163044449257,1.5,47.36595478859,0.096518778772674,185.5866230849831,Yes
Coal CCS,Aluminum,4,lognormal,394.75,350.0,168.93070571489758,0.42794352302697297,195.75,256.95,608.625,351.675,144.1997542602305,0.36601813083138324,556.6223206807363,1.4128585893906656,1.5,216.29963139034572,0.5490271962470749,834.9334810211044,Yes
Coal CCS,Copper,4,lognormal,588.75,582.5,43.85107372307623,0.07448165388208278,51.25,546.5,641.625,95.125,37.65054345595485,0.06395080465043305,147.52106775407947,0.25056984892663825,1.5,56.47581518393228,0.09592620697564959,221.2816016311192,Yes
Coal CCS,Steel,4,lognormal,75764.75,73122.5,14703.396600219057,0.19406645702941086,16520.75,62101.525,93919.8,31818.275,12515.524301125939,0.1652245900343436,48911.51256702769,0.6457088346766077,1.5,18773.28645168891,0.24783688505151538,73367.26885054153,Yes
Gas,Cement,4,lognormal,11118.25,10741.5,3454.7058123666625,0.31072388301816045,3064.75,7554.75,15322.224999999999,7767.4749999999985,3064.2809665777445,0.2755415057134112,11909.202390872924,1.070880769230411,1.5,4596.421449866617,0.4133122585701168,17863.803586309386,Yes
Gas,Copper,4,lognormal,490.75,485.5,36.782015532956684,0.07495061748946853,42.75,455.275,535.15,79.875,31.577303192393337,0.064345852515116,123.72441538998874,0.2521163044449257,1.5,47.36595478859,0.096518778772674,185.5866230849831,Yes
Gas CCS,Cement,4,lognormal,16216.5,16435.0,6533.013061877855,0.4028620887292483,5483.5,8618.7,23442.85,14824.149999999998,6721.503629182699,0.41170370790481037,25835.583873462718,1.5824741402220563,1.5,10082.25544377405,0.6175555618572156,38753.37581019408,Yes
Gas CCS,Copper,4,lognormal,588.75,582.5,43.85107372307623,0.07448165388208278,51.25,546.5,641.625,95.125,37.65054345595485,0.06395080465043305,147.52106775407947,0.25056984892663825,1.5,56.47581518393228,0.09592620697564959,221.2816016311192,Yes
Hydro,Steel,4,lognormal,83575.0,66250.0,65977.6919369974,0.7894429187795083,55675.0,27027.5,169574.99999999997,142547.49999999997,67843.97987969607,0.8043409803009617,245946.23784852485,2.9158760792513547,1.5,101765.9698195441,1.2065114704514426,368919.3567727873,Yes
NGCC,Cement,4,lognormal,11118.25,10741.5,3454.7058123666625,0.31072388301816045,3064.75,7554.75,15322.224999999999,7767.4749999999985,3064.2809665777445,0.2755415057134112,11909.202390872924,1.070880769230411,1.5,4596.421449866617,0.4133122585701168,17863.803586309386,Yes
NGCC,Copper,4,lognormal,490.75,485.5,36.782015532956684,0.07495061748946853,42.75,455.275,535.15,79.875,31.577303192393337,0.064345852515116,123.72441538998874,0.2521163044449257,1.5,47.36595478859,0.096518778772674,185.5866230849831,Yes
NGGT,Cement,4,lognormal,11118.25,10741.5,3454.7058123666625,0.31072388301816045,3064.75,7554.75,15322.224999999999,7767.4749999999985,3064.2809665777445,0.2755415057134112,11909.202390872924,1.070880769230411,1.5,4596.421449866617,0.4133122585701168,17863.803586309386,Yes
NGGT,Copper,4,lognormal,490.75,485.5,36.782015532956684,0.07495061748946853,42.75,455.275,535.15,79.875,31.577303192393337,0.064345852515116,123.72441538998874,0.2521163044449257,1.5,47.36595478859,0.096518778772674,185.5866230849831,Yes
Nuclear New,Aluminum,4,lognormal,37.5,39.0,15.588457268119896,0.41569219381653055,18.0,19.125,53.324999999999996,34.199999999999996,16.49149934984496,0.436116421131402,63.230774703930685,1.6721329325040102,1.5,24.737249024767443,0.654174631697103,94.84616205589603,Yes
Nuclear New,Manganese,4,lognormal,343.0,348.0,113.71015785759863,0.3315164952116578,142.5,215.525,461.97499999999997,246.44999999999996,108.19113452291593,0.3147566639452481,419.34892668061445,1.21999708916125,1.5,162.2867017843739,0.4721349959178721,629.0233900209216,Yes
Solar Distributed,Aluminum,4,lognormal,21863.25,19000.0,11721.936796024793,0.5361479558631399,6886.75,11556.525,37037.5,25480.975,10239.298781864629,0.46927376117817243,39116.25749432164,1.792723668742424,1.5,15358.948172796943,0.7039106417672587,58674.386241482454,Yes
a-Si,Indium,4,lognormal,7.0125,5.32,4.310153709556076,0.6146386751595116,2.3525,4.099,12.803249999999998,8.704249999999998,3.3354010333981208,0.4814498127053013,12.723973344467838,1.836647084479715,1.5,5.003101550097181,0.7221747190579519,19.08596001670176,Yes
offshore wind,Cement,4,lognormal,181.0,181.0,45.033320996790806,0.24880287843530832,78.0,142.0,220.0,78.0,40.10792579397053,0.2215488892331996,156.35891295775286,0.8636982043261965,1.5,60.16188869095579,0.33232333384979934,234.5383694366293,Yes
offshore wind,Chromium,4,lognormal,352.39,333.0,74.79444096990096,0.2122490450066715,97.61000000000001,293.593,444.15,150.55699999999996,63.484745960033564,0.1802102718935388,247.95834889106376,0.7038642243297705,1.5,95.22711894005035,0.27031540784030816,371.93752333659563,Yes
offshore wind,Nickel,4,lognormal,177.39249999999998,111.0,132.785,0.7485378468650028,66.39249999999998,111.0,356.6522499999999,245.65224999999992,98.45030343733491,0.5682070057776858,371.39763313619807,2.1435255119509384,1.5,147.67545515600236,0.8523105086665287,557.0964497042971,Yes
offshore wind,Praseodymium,4,lognormal,32.45,32.0,1.9689252567496476,0.060675662765782665,2.5500000000000007,30.815,34.85,4.035,1.6881093703688825,0.05202236649564458,6.615299537032854,0.20386329407009302,1.5,2.5321640555533236,0.07803354974346687,9.922949305549281,Yes
onshore wind,Molybdenum,4,lognormal,100.575,104.0,18.724026454442612,0.18616978826192007,18.424999999999997,77.0775,118.25,41.1725,17.41204319555449,0.17301900046633206,68.0272951080234,0.6759697567843985,1.5,26.118064793331733,0.25952850069949807,102.04094266203509,Yes
utility-scale solar pv,Aluminum,4,lognormal,21863.25,19000.0,11721.936796024793,0.5361479558631399,6886.75,11556.525,37037.5,25480.975,10239.298781864629,0.46927376117817243,39116.25749432164,1.792723668742424,1.5,15358.948172796943,0.7039106417672587,58674.386241482454,Yes
Nuclear New,Copper,5,lognormal,1291.8,1345.0,502.08933468059246,0.3886742024156932,574.0,744.1,1948.1,1204.0,481.57335212251,0.37215648775388327,1857.9096368005062,1.4357794548811993,1.5,722.360028183765,0.5582347316308249,2786.864455200759,No
Nuclear New,Nickel,5,lognormal,201.4,100.0,186.6301154690743,0.9266639298365158,226.0,51.5,465.59999999999997,414.09999999999997,213.8319423504893,1.0551414889329518,734.0182665218562,3.6219711523379114,1.5,320.74791352573396,1.582712233399428,1101.0273997827842,No
Solar Distributed,Nickel,5,lognormal,1.1400000000000001,1.1,0.15165750888103102,0.1330329025272202,0.30000000000000004,1.0,1.3,0.30000000000000004,0.1352234493465221,0.11862110291474368,0.5292432885478869,0.4642643188083335,1.5,0.20283517401978318,0.17793165437211553,0.7938649328218303,No
offshore wind,Fiberglass,5,lognormal,8809.8,10551.0,2726.1887682257075,0.30944956392037365,5088.0,5824.0,10921.0,5097.0,2731.783319076673,0.3093364842258459,10592.584906701119,1.1994629848644736,1.5,4097.674978615009,0.46400472633876894,15888.877360051678,No
utility-scale solar pv,Nickel,5,lognormal,1.1400000000000001,1.1,0.15165750888103102,0.1330329025272202,0.30000000000000004,1.0,1.3,0.30000000000000004,0.1352234493465221,0.11862110291474368,0.5292432885478869,0.4642643188083335,1.5,0.20283517401978318,0.17793165437211553,0.7938649328218303,No
CdTe,Copper,6,lognormal,2502.3116666666665,2045.5,2321.234555234922,0.9276360679431441,4019.9475,102.20875000000001,5181.0,5078.79125,18215.418921877663,3.9953921123381044,29904.686498237435,6.55933026132596,1.2,21858.502706253195,4.7944705348057255,35885.623797884924,No
Nuclear New,Steel,6,lognormal,31983.666666666668,39637.0,18621.896516377343,0.5822314467710813,27900.25,7731.125,49702.625,41971.5,30808.660338482194,0.9041402642867732,109427.53919380892,3.2113646981060473,1.2,36970.39240617863,1.0849683171441278,131313.0470325707,No
Solar Distributed,Cement,6,lognormal,7705.166666666667,7147.5,2193.008291517993,0.2846152959942021,2873.5,5053.25,10458.0,5404.75,2082.5663572765116,0.2701236195930867,8096.575692595566,1.0501832629494117,1.2,2499.079628731814,0.3241483435117041,9715.890831114679,No
Solar Distributed,Lead,6,lognormal,77.47500000000001,22.66,129.37794986009015,1.6699315890298825,57.67,5.58875,303.0,297.41125,247.762200313057,3.1266747391090144,494.4510237356215,6.239803826763506,1.2,297.3146403756684,3.752009686930817,593.3412284827458,No
onshore wind,Cement,6,lognormal,54093.833333333336,53584.5,13749.399454764076,0.2541768369425488,20362.25,39050.875,71967.375,32916.5,12846.562079623342,0.23744834543637133,50040.031921831614,0.9249107046521583,1.2,15415.874495548009,0.2849380145236456,60048.03830619794,No
utility-scale solar pv,Cement,6,lognormal,7705.166666666667,7147.5,2193.008291517993,0.2846152959942021,2873.5,5053.25,10458.0,5404.75,2082.5663572765116,0.2701236195930867,8096.575692595566,1.0501832629494117,1.2,2499.079628731814,0.3241483435117041,9715.890831114679,No
utility-scale solar pv,Lead,6,lognormal,77.47500000000001,22.66,129.37794986009015,1.6699315890298825,57.67,5.58875,303.0,297.41125,247.762200313057,3.1266747391090144,494.4510237356215,6.239803826763506,1.2,297.3146403756684,3.752009686930817,593.3412284827458,No
Geothermal,Aluminum,7,lognormal,16165.857142857143,9729.0,19310.868204447044,1.1945465083476579,24406.0,1470.8,44810.0,43339.2,41372.706013044204,2.286037438272914,102197.45170483532,5.646891953832616,1.2,49647.24721565304,2.7432449259274967,122636.94204580237,No
Geothermal,Cement,8,lognormal,393824.625,251833.0,375408.64090783504,0.9532381092417342,311523.5,78045.325,987825.0,909779.675,437988.33727803396,1.10496995384201,1485603.2824001492,3.747923975745457,1.2,525586.0047336407,1.3259639446104117,1782723.9388801788,No
Geothermal,Steel,8,lognormal,544709.0,325500.0,472941.38969915867,0.8682459619708113,832827.25,127630.45,1200575.0,1072944.55,628977.6018904893,1.1278190222849698,2121538.5690776,3.8041283942787283,1.2,754773.1222685872,1.3533828267419639,2545846.28289312,No
Hydro,Cement,8,lognormal,1007209.75,995680.0,347040.08826184005,0.3445559261731134,356987.25,611113.8,1604388.0,993274.2,322583.84443132015,0.3204722484228983,1249803.4755587522,1.2416224086024885,1.2,387100.61331758415,0.38456669810747796,1499764.1706705026,No
Nuclear New,Cement,9,lognormal,36852.88888888889,30400.0,15767.423508966553,0.4278476934740499,28253.0,19897.8,60225.4,40327.600000000006,15670.275560069436,0.4249761034549537,60151.7011109077,1.6313073408510814,1.2,18804.330672083324,0.5099713241459444,72182.04133308923,No
onshore wind,Chromium,10,lognormal,526.49,497.5,212.73719023976767,0.4040669153065921,298.25,265.9775,876.575,610.5975000000001,216.03000253477953,0.40950113129385496,830.5395229610953,1.5743501839846157,1.2,259.23600304173544,0.491401357552626,996.6474275533143,No
Solar Distributed,Copper,11,lognormal,2614.181818181818,884.0,3007.237729817243,1.1503552311861758,4229.0,262.5,7397.5,7135.0,4881.39810866557,1.8044421254725196,13746.551652205048,5.0815066358116745,1.1818181818181819,5768.925037513856,2.132522511922069,16245.924679878693,No
utility-scale solar pv,Copper,11,lognormal,2614.181818181818,884.0,3007.237729817243,1.1503552311861758,4229.0,262.5,7397.5,7135.0,4881.39810866557,1.8044421254725196,13746.551652205048,5.0815066358116745,1.1818181818181819,5768.925037513856,2.132522511922069,16245.924679878693,No
Coal,Cement,12,lognormal,14525.0,14121.0,7245.051326752125,0.4987987144063425,7056.0,5240.275,27670.25,22429.975,8064.214687440129,0.5502582764643633,30497.0551853303,2.0809536543781424,1.1666666666666667,9408.250468680151,0.6419679892084239,35579.897716218686,No
Coal CCS,Cement,12,lognormal,20696.5,17745.5,11452.573950466729,0.553358004999238,13692.25,7876.075,42336.025,34459.950000000004,11952.061996993703,0.5756557435547358,45041.07487143181,2.1693456285735717,1.1666666666666667,13944.072329825987,0.6715983674805251,52547.92068333711,No
CIGS,Copper,13,lognormal,1805.1553846153847,250.0,3069.5515732014655,1.7004362058590758,428.0,17.9,7371.0,7353.1,37675.51390217295,12.591875856905338,19566.9401016015,6.53964485524001,1.1538461538461537,43471.746810199555,14.529087527198465,22577.23857877096,No
onshore wind,Nickel,13,lognormal,249.8153846153846,240.0,141.60806148282336,0.5668508434772459,266.0,111.0,437.0,326.0,167.9397816154129,0.6653239766855134,624.2426049788587,2.473050568281443,1.1538461538461537,193.77667109470718,0.7676815115602077,720.27992882176,No
Solar Distributed,Silicon,15,lognormal,4633.533333333334,3653.0,2565.8110627097644,0.5537482690048842,3491.0,225.90000000000003,8300.0,8074.1,79715.39899555888,5.411363792114198,99839.82633373588,6.777481240022992,1.1333333333333333,90344.1188616334,6.132878964396091,113151.803178234,No
onshore wind,Praseodymium,15,lognormal,18.373333333333335,4.0,24.155285333106907,1.314692597955746,23.5,1.105,69.4,68.295,52.272518802390714,2.6039277204455757,118.78769811647595,5.917345998625682,1.1333333333333333,59.24218797604281,2.9511180831716524,134.62605786533942,No
utility-scale solar pv,Silicon,15,lognormal,4633.533333333334,3653.0,2565.8110627097644,0.5537482690048842,3491.0,225.90000000000003,8300.0,8074.1,79715.39899555888,5.411363792114198,99839.82633373588,6.777481240022992,1.1333333333333333,90344.1188616334,6.132878964396091,113151.803178234,No
a-Si,Germanium,16,lognormal,43.5,42.0,25.26106358278157,0.5807141053513005,42.3,4.7125,73.0,68.2875,60.53505764430031,1.2052995067850287,200.27324836318266,3.987594244855033,1.125,68.10193984983785,1.3559619451331573,225.30740440858048,No
onshore wind,Terbium,16,lognormal,7.2125,6.6,8.460328992815036,1.1730092191078039,7.25,0.5625,27.75,27.1875,16.753795586870567,2.0408210141278578,44.21862605246667,5.386379509993285,1.125,18.84802003522939,2.2959236408938404,49.745954309025,No
offshore wind,Dysprosium,18,lognormal,17.555555555555557,17.0,7.845845826424717,0.4469152685938129,9.0,3.7905,30.874999999999996,27.084499999999995,11.706091855181072,0.6421255249614519,43.67550018445895,2.3957742541962896,1.1111111111111112,13.006768727978969,0.7134728055127243,48.52833353828772,No
offshore wind,Aluminum,20,lognormal,1973.35,1030.0,2227.795754481144,1.1289410162825368,1833.0,279.0,7452.4999999999945,7173.4999999999945,2645.5871457859416,1.3362973963080897,8461.001900837047,4.2736882919377335,1.1,2910.145860364536,1.4699271359388988,9307.102090920753,No
offshore wind,Steel,20,lognormal,302454.75,221335.0,218424.95010315508,0.7221739784319972,183625.0,128325.0,863012.2499999999,734687.2499999999,182618.44759274262,0.6169607672368087,684021.9477433759,2.310909501474377,1.1,200880.2923520169,0.6786568439604895,752424.1425177136,No
Solar Distributed,Silver,30,lognormal,33.63129166666667,29.728125,23.070446499113594,0.6859815771506523,27.5921875,4.725,81.1,76.375,31.598412549329442,0.9035768822638006,112.24614142124695,3.209750437722679,1.0666666666666667,33.704973385951405,0.9638153410813873,119.72921751599674,No
utility-scale solar pv,Silver,30,lognormal,33.63129166666667,29.728125,23.070446499113594,0.6859815771506523,27.5921875,4.725,81.1,76.375,31.598412549329442,0.9035768822638006,112.24614142124695,3.209750437722679,1.0666666666666667,33.704973385951405,0.9638153410813873,119.72921751599674,No
CIGS,Selenium,36,lognormal,62.59055555555556,45.0,47.87031540344597,0.764816911729696,59.5,14.32,161.0,146.68,55.68792854014369,0.8807899454084179,198.77587249043714,3.1439450967035563,1.0555555555555556,58.781702347929446,0.92972272015333,209.81897651768364,No
onshore wind,Aluminum,38,lognormal,2005.078947368421,1660.0,2299.1649880440314,1.1466705543248485,1550.75,244.25,5892.499999999966,5648.249999999966,3092.7520048172205,1.430323147994619,9646.830885343012,4.461426424945763,1.0526315789473684,3255.5284261233896,1.5056033136785463,10154.558826676854,No
CdTe,Cadmium,40,lognormal,81.594,78.0,51.84110441210398,0.6353543693421573,35.25,16.725,244.0065,227.2815,71.92690943380924,0.8389457649908545,258.962123060113,3.0204992560434065,1.05,75.52325490549971,0.8808930532403972,271.91022921311867,No
CIGS,Gallium,41,lognormal,12.506341463414634,6.7,26.05271020029371,2.0831599933927025,5.8,2.0,124.0,122.0,16.565932396408474,1.5175763750955686,50.46878026604424,4.623357549632588,1.048780487804878,17.374026659647914,1.5916044909538893,52.930671986339085,No
offshore wind,Neodymium,41,lognormal,148.8509756097561,165.7,50.799034134758806,0.3412744453078969,62.0,40.0,203.0,163.0,80.82845191709698,0.5274798487874515,306.5989148071966,2.0008393750603113,1.048780487804878,84.77130323012611,0.5532105731185466,321.5549594319379,No
onshore wind,Dysprosium,47,lognormal,13.44127659574468,13.3,10.761135712048983,0.8006036952960114,14.0,0.9750000000000001,37.500000000000014,36.52500000000001,21.605308528314573,1.4153647721947764,67.66137930444549,4.432500122834002,1.0425531914893618,22.524683359306685,1.4755930603732776,70.5405869344219,No
onshore wind,Steel,48,lognormal,122338.6875,119992.5,26144.244950833865,0.21370382080348757,24449.75,77689.5,179607.49999999997,101917.99999999997,27233.800331479157,0.22238547268210423,106165.23315124678,0.8669229145172154,1.0416666666666667,28368.542011957456,0.23165153404385858,110588.78453254873,No
offshore wind,Copper,49,lognormal,5442.890184646938,4000.0,4860.9535211282355,0.8930831518224999,7571.0,926.9333334,19159.99999999999,18233.06666659999,5639.572258459191,1.0295290340457415,19475.8583318495,3.5554046826024575,1.0408163265306123,5869.758881253444,1.0715506272720985,20270.791324986214,No
onshore wind,Neodymium,50,lognormal,122.9474,150.0,80.63427836971124,0.6558437052732408,145.8,7.505000000000001,238.59999999999997,231.09499999999997,192.13597903229368,1.348827982771719,612.4537851698792,4.299532069694995,1.04,199.82141819358543,1.4027811020825875,636.9519365766744,No
CdTe,Tellurium,55,lognormal,98.88490909090909,90.0,77.62063590339322,0.7849593696044488,51.0,19.0,254.04999999999998,235.04999999999998,76.45963213907787,0.7699532819549778,279.01111912509725,2.809659435472282,1.0363636363636364,79.2399823986807,0.7979515831169769,289.15697800237353,No
CIGS,Indium,76,lognormal,1188.8801315789474,23.0,7110.546786883363,5.980877800893074,15.25,6.9125,5592.875,5585.9625,165.17912273788502,2.3541529722293926,400.6890692909574,5.710669410128714,1.0263157894736843,169.52594175730306,2.4161043662354293,411.2335184828247,No
onshore wind,Copper,102,lognormal,3500.3207264411762,2520.0,2741.888834631268,0.78332502902355,2737.25,1012.0,13417.674999999992,12405.674999999992,2278.8233636769255,0.6647368716625424,8471.344324727555,2.4711063678536074,1.0196078431372548,2323.506174729414,0.6777709279696509,8637.449115408488,No
