Technology,Material,n,Distribution,Mean,Median,Std (observed),CV (observed),IQR,p2.5,p97.5,95% CI width (observed),Std (fitted),CV (fitted),95% CI width (fitted),CI width / mean,Inflation factor,Std (inflated),CV (inflated),95% CI width (inflated),Low-N (<5)
CIGS,Steel,2,lognormal,55950.0,55950.0,70.71067811865476,0.0012638190905925784,50.0,55902.5,55997.5,95.0,50.0000232925079,0.0008936554654603253,195.99647258139157,0.003503064746762842,2.5,125.00005823126975,0.0022341386636508132,489.99118145347893,Yes
CSP,Aluminum,2,normal,5500.0,5500.0,7778.174593052023,1.4142135623730951,5500.0,275.0,10725.0,10450.0,7778.174593052023,1.4142135623730951,10450.0,1.9,2.5,19445.43648263006,3.535533905932738,26125.0,Yes
CSP,Cement,2,lognormal,161000.0,161000.0,125865.00705120547,0.781770230131711,89000.0,76450.0,245550.0,169100.0,112004.9783744797,0.6878328234382127,414768.6199196178,2.5471320565683464,2.5,280012.4459361993,1.7195820585955321,1036921.5497990444,Yes
CSP,Copper,2,lognormal,2300.0,2300.0,1272.7922061357856,0.5533879157112112,900.0,1445.0,3155.0,1710.0,995.0821407992257,0.43163878005285566,3817.0789776663296,1.655742019409558,2.5,2487.7053519980645,1.0790969501321392,9542.697444165824,Yes
CSP,Glass,2,lognormal,120000.0,120000.0,14142.13562373095,0.11785113019775792,10000.0,110500.0,129500.0,19000.0,10040.793630419363,0.08367294148263267,39328.86354106529,0.3277392025746236,2.5,25101.984076048408,0.2091823537065817,98322.15885266324,Yes
CSP,Manganese,2,lognormal,3850.0,3850.0,2616.295090390226,0.6795571663351236,1850.0,2092.5,5607.5,3515.0,2175.205441747833,0.5616967327842207,8213.267817128233,2.120887346923774,2.5,5438.013604369582,1.4042418319605516,20533.169542820582,Yes
CSP,Nickel,2,lognormal,1420.0,1420.0,678.8225099390856,0.4780440210838631,480.0,964.0,1876.0,912.0,516.1573510114532,0.3630418284106875,1992.9211373527423,1.401730949225195,2.5,1290.393377528633,0.9076045710267188,4982.302843381856,Yes
CSP,Silver,2,lognormal,14.5,14.5,2.1213203435596424,0.1462979547282512,1.5,13.075,15.925,2.8500000000000014,1.5094655491278868,0.10410006740319978,5.909930009007512,0.4075774453026297,2.5,3.773663872819717,0.2602501685079995,14.77482502251878,Yes
CSP,Steel,2,lognormal,320000.0,320000.0,113137.0849898476,0.35355339059327373,80000.0,244000.0,396000.0,152000.0,83112.32433467144,0.25963549100012984,323330.20592318324,1.0100547354686205,2.5,207780.8108366786,0.6490887275003245,808325.5148079582,Yes
CdTe,Lead,2,lognormal,7.9,7.9,0.14142135623730964,0.017901437498393624,0.10000000000000053,7.805,7.995,0.1900000000000004,0.10000934829596547,0.012659411149615166,0.39202254544845694,0.04962310691260569,2.5,0.25002337073991365,0.031648527874037914,0.9800563636211423,Yes
Gas,Aluminum,2,lognormal,217.0,217.0,18.384776310850235,0.08472247147857251,13.0,204.65,229.35,24.69999999999999,13.027314586767105,0.060033643086683526,51.04590710061632,0.23523434146798267,2.5,32.56828646691776,0.15008410771670883,127.6147677515408,Yes
Gas,Steel,2,lognormal,41080.0,41080.0,14212.846301849606,0.34597970549779955,10050.0,31532.5,50627.5,19095.0,10423.350193420012,0.25365210852552045,40564.081220525346,0.9871264556075264,2.5,26058.37548355003,0.6341302713138011,101410.20305131336,Yes
Gas CCS,Aluminum,2,lognormal,217.0,217.0,18.384776310850235,0.08472247147857251,13.0,204.65,229.35,24.69999999999999,13.027314586767105,0.060033643086683526,51.04590710061632,0.23523434146798267,2.5,32.56828646691776,0.15008410771670883,127.6147677515408,Yes
Gas CCS,Steel,2,lognormal,62852.5,62852.5,21745.654841829895,0.3459791550348816,15376.5,48244.825,77460.175,29215.350000000006,15947.723861583703,0.2536516747238517,62063.03830965685,0.9871247923734562,2.5,39869.30965395926,0.6341291868096293,155157.59577414213,Yes
NGCC,Aluminum,2,lognormal,217.0,217.0,18.384776310850235,0.08472247147857251,13.0,204.65,229.35,24.69999999999999,13.027314586767105,0.060033643086683526,51.04590710061632,0.23523434146798267,2.5,32.56828646691776,0.15008410771670883,127.6147677515408,Yes
