scenario,material,demand_2035,avg_production,avg_consumption,avg_net_import,demand_to_production_ratio,demand_to_consumption_ratio
Mid_Case,Aluminum,1700.595621755907,2459.0,4598.0,4128.6,0.6915801633818247,0.3698555071239467
Mid_Case,Boron,0.212207887920307,,,-575.0,,
Mid_Case,Cement,6492.805989789509,90260.0,107100.0,16666.0,0.07193447806104043,0.06062377208020083
Mid_Case,Chromium,60.636662818232935,121.8,550.0,422.4,0.4978379541726842,0.11024847785133261
Mid_Case,Copper,554.9055704756286,1005.6,1794.0,682.4,0.5518154042120411,0.3093119121937729
Mid_Case,Lead,719.6273832325348,1319.8,1552.0,259.2,0.5452548743995567,0.46367743764982916
Mid_Case,Magnesium,3.973108004146392,,,52.8,,
Mid_Case,Manganese,79.42364153058166,0.0,926.0,1147.8,inf,0.08577067119933225
Mid_Case,Molybdenum,12.084700474872683,43.839999999999996,17.580000000000002,-26.3,0.27565466411662143,0.6874118586389466
Mid_Case,Nickel,28.987367576115133,16.84,106.0,89.28800000000001,1.7213401173465044,0.2734657318501428
Mid_Case,Niobium,4.094743201626477,0.0,8.132,8.1928,inf,0.5035345796392617
Mid_Case,Rare Earths,20.04936859135695,0.074,8.312000000000001,9.319399999999998,270.93741339671556,2.412099204927448
Mid_Case,Silicon,355.6615254961078,328.0,536.0,205.6,1.0843339191954506,0.663547622194231
Mid_Case,Silver,3.2919740990464383,3.3328,6.93,5.1518,0.9877502697570926,0.4750323375247386
Mid_Case,Steel,20009.52668016622,82980.0,95800.0,12600.0,0.2411367399393374,0.20886771064891668
Mid_Case,Tin,42.99536663557202,17.753999999999998,43.38,33.83,2.4217284350327826,0.9911333940887971
Mid_Case,Vanadium,72.13995391067034,3.3153999999999995,9.440000000000001,6.131,21.75904986145574,7.641944270198128
Mid_Case,Zinc,549.785324398546,170.2,900.6,730.8,3.2302310481700705,0.6104656055946547
